Country,Governorate,District,year,adm2_code,XGB+DNN Predicted MPI,XGB+DNN Predicted Severe Poverty %
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Gornjedrinski,2020,6241,0.232566416,20.03413755
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Gornjedrinski,2021,6241,0.227711588,19.41803851
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Gornjedrinski,2022,6241,0.21744295954704285,18.13671867
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Gornjedrinski,2023,6241,0.202053919,16.27411531
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Gornjedrinski,2024,6241,0.233412951,20.14223058
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Neretvljanski,2020,6242,0.254964173,22.95811177
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Neretvljanski,2021,6242,0.246505961,21.83855095
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Neretvljanski,2022,6242,0.246053755,21.77921047
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Neretvljanski,2023,6242,0.252903253,22.68365137
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Neretvljanski,2024,6242,0.254633844,22.91404909
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Posavski,2020,6243,0.180100054,13.74368066
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Posavski,2021,6243,0.16710332036018372,12.32001529
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Posavski,2022,6243,0.177447677,13.44852527
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Posavski,2023,6243,0.193382055,15.25627648
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Posavski,2024,6243,0.169821277,12.61300498
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Sarajevo,2020,6244,0.03015432320535183,1.318250658
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Sarajevo,2021,6244,0.05670330300927162,2.814782046
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Sarajevo,2022,6244,0.032351985573768616,1.429208755
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Sarajevo,2023,6244,0.029973667114973068,1.309235302
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Sarajevo,2024,6244,0.03015432320535183,1.318250658
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Srednjebosanski,2020,6245,0.162175447,11.7953108
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Srednjebosanski,2021,6245,0.152496129,10.78955691
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Srednjebosanski,2022,6245,0.152292684,10.76877643
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Srednjebosanski,2023,6245,0.158094257,11.36718861
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Srednjebosanski,2024,6245,0.17469274997711182,13.14444253
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Tuzlansko-podrinjski,2020,6246,0.180966094,13.840558052062988
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Tuzlansko-podrinjski,2021,6246,0.212570131,17.53931765
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Tuzlansko-podrinjski,2022,6246,0.205875471,16.73002668
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Tuzlansko-podrinjski,2023,6246,0.184349507,14.22139808
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Tuzlansko-podrinjski,2024,6246,0.232567534,20.03428012
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Unsko-sanski,2020,6247,0.164340511,12.0248007
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Unsko-sanski,2021,6247,0.162932888,11.87541107
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Unsko-sanski,2022,6247,0.15714406967163086,11.26835737
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Unsko-sanski,2023,6247,0.184967518,14.29136629
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Unsko-sanski,2024,6247,0.183556899,14.13184515
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zapadnobosanski,2020,6248,0.207003444,16.86544156
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zapadnobosanski,2021,6248,0.198889703,15.90001237
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zapadnobosanski,2022,6248,0.180023417,13.73511983
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zapadnobosanski,2023,6248,0.184794784,14.27179762
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zapadnobosanski,2024,6248,0.181728035,13.92599503
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zapadnohercegovacki,2020,6249,0.215377942,17.88270243
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zapadnohercegovacki,2021,6249,0.244887173,21.62637108
Bosnia and Herzegovina,Federacija Bosne I Hercegovine,Zapadnohercegovacki,2022,6249,0.247012913,21.90513844
