system:index,ADM1_CODE,ADM2_CODE,ADM2_NAME,Country,Mean_LST,StdDev_LST,Year,.geo
0_00000000000000002373,652,6242,Neretvljanski,Bosnia and Herzegovina,281.97202530260614,1.5729902204485708,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002374,652,6244,Sarajevo,Bosnia and Herzegovina,278.8570763131144,1.0329144508159558,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002375,652,6248,Zapadnobosanski,Bosnia and Herzegovina,275.79640533794486,1.5412724496125085,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002376,652,6249,Zapadnohercegovacki,Bosnia and Herzegovina,280.442368088602,1.8386496827787515,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002377,653,6253,Bileca,Bosnia and Herzegovina,279.4018231706799,0.7642652699810782,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002378,653,6268,Foca,Bosnia and Herzegovina,278.72902220945883,0.8249034935996098,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002379,653,6269,Gacko,Bosnia and Herzegovina,275.5261987144086,0.7949894583090774,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237a,653,6279,Kalinovik,Bosnia and Herzegovina,275.2812978362263,1.4758391482616409,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237b,653,6282,Konjic,Bosnia and Herzegovina,,,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237c,653,6286,Ljubinje,Bosnia and Herzegovina,279.61434557179155,0.8420468865583532,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237d,653,6291,Mostar,Bosnia and Herzegovina,,,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237e,653,6293,Nevesinje,Bosnia and Herzegovina,275.65843168987453,0.5331795307444969,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237f,653,6310,Stolac,Bosnia and Herzegovina,279.7414311118638,0.3098336332261359,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002380,653,6315,Trebinje,Bosnia and Herzegovina,282.2881469649616,1.702195230671635,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001879,652,6241,Gornjedrinski,Bosnia and Herzegovina,279.5982669961285,1.2752874343971583,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187a,652,6243,Posavski,Bosnia and Herzegovina,281.5306225481505,0.8139582739575062,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187b,652,6245,Srednjebosanski,Bosnia and Herzegovina,278.28866323738634,0.94155736635962,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187c,652,6246,Tuzlansko-podrinjski,Bosnia and Herzegovina,280.70858548678007,1.139633273789133,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187d,652,6247,Unsko-sanski,Bosnia and Herzegovina,279.554644643188,1.156134367740818,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187e,652,6250,Zenicko-dobojski,Bosnia and Herzegovina,280.01862963672886,1.0370345342472924,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187f,653,6251,Banja Luka,Bosnia and Herzegovina,280.39778217467796,1.1860012976795644,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001880,653,6252,Bijeljina,Bosnia and Herzegovina,281.52671886153973,0.4859925100019107,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001881,653,6254,Bosanska Dubica,Bosnia and Herzegovina,280.1955365495557,0.8728446206693978,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001882,653,6255,Bosanska Gradiska,Bosnia and Herzegovina,280.6894345289796,0.629298856749183,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001883,653,6256,Bosanska Krupa,Bosnia and Herzegovina,279.99342282225905,0.5818984698833883,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001884,653,6257,Bosanski Brod,Bosnia and Herzegovina,280.8466808323324,0.9610420303065693,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001885,653,6258,Bosanski Novi,Bosnia and Herzegovina,279.9600173869331,0.8761297523989382,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001886,653,6259,Bosanski Petrovac,Bosnia and Herzegovina,280.07057591623044,0.0,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001887,653,6260,Bosanski Samac,Bosnia and Herzegovina,281.47670606964493,0.5718422283318615,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001888,653,6261,Bratunac,Bosnia and Herzegovina,279.08797005700103,0.8161541071623315,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
