system:index,ADM1_CODE,ADM2_CODE,ADM2_NAME,Country,Mean_NTL,StdDev_NTL,Sum_NTL,Year,.geo
0_00000000000000002373,652,6242,Neretvljanski,Bosnia and Herzegovina,2.8238272644661224,6.792199515122688,11474.450444755737,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002374,652,6244,Sarajevo,Bosnia and Herzegovina,7.422177124403205,13.530441761452536,15743.660157091448,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002375,652,6248,Zapadnobosanski,Bosnia and Herzegovina,1.402328843486953,3.8644412420061074,3126.3134283682257,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002376,652,6249,Zapadnohercegovacki,Bosnia and Herzegovina,2.005416165384512,3.7080160632593024,5594.057274888822,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002377,653,6253,Bileca,Bosnia and Herzegovina,1.8870054269467558,4.004300642176873,536.0205415721108,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002378,653,6268,Foca,Bosnia and Herzegovina,1.0355751983388128,2.5093947307882405,508.6339266319331,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002379,653,6269,Gacko,Bosnia and Herzegovina,1.1684946836822887,2.6108502814102716,450.6311203450978,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237a,653,6279,Kalinovik,Bosnia and Herzegovina,1.0874571406388436,2.750167500921538,136.7338756874637,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237b,653,6282,Konjic,Bosnia and Herzegovina,,,0.0,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237c,653,6286,Ljubinje,Bosnia and Herzegovina,0.946946742555067,1.6721814935057087,123.37416324669407,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237d,653,6291,Mostar,Bosnia and Herzegovina,0.3846356563151517,0.09024690200823038,4.497974616203068,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237e,653,6293,Nevesinje,Bosnia and Herzegovina,0.6394761643655712,1.3069182002310131,319.79074492573335,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000237f,653,6310,Stolac,Bosnia and Herzegovina,0.42984824350977946,0.3719759547018304,84.74921682626538,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000002380,653,6315,Trebinje,Bosnia and Herzegovina,2.1058690892523115,5.956966643651107,1417.1755722754203,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001879,652,6241,Gornjedrinski,Bosnia and Herzegovina,1.0274606179957662,2.229729869557809,535.9959849784501,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187a,652,6243,Posavski,Bosnia and Herzegovina,1.8240919095158146,3.22967011491686,1383.4628371928534,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187b,652,6245,Srednjebosanski,Bosnia and Herzegovina,1.8393005206534534,3.063461989691342,7996.391471785373,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187c,652,6246,Tuzlansko-podrinjski,Bosnia and Herzegovina,2.6148998298142434,4.999556350457173,18436.920375362395,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187d,652,6247,Unsko-sanski,Bosnia and Herzegovina,1.2354749303600772,2.8536746375865394,7197.939929274258,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187e,652,6250,Zenicko-dobojski,Bosnia and Herzegovina,2.312231871224252,6.940432521102654,12226.982391698228,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000187f,653,6251,Banja Luka,Bosnia and Herzegovina,4.957308684599665,11.476101849336088,9469.684334436852,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001880,653,6252,Bijeljina,Bosnia and Herzegovina,1.95459491428491,4.763142305702739,4649.667032881896,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001881,653,6254,Bosanska Dubica,Bosnia and Herzegovina,1.3722808887110909,3.26893476104939,1187.760233369421,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001882,653,6255,Bosanska Gradiska,Bosnia and Herzegovina,1.326991181792198,2.991892509284356,2374.101709739965,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001883,653,6256,Bosanska Krupa,Bosnia and Herzegovina,0.32632587931146617,0.056901780201286216,23.564567614279767,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001884,653,6257,Bosanski Brod,Bosnia and Herzegovina,2.1588320486508166,5.840261023427873,890.4801230323093,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001885,653,6258,Bosanski Novi,Bosnia and Herzegovina,0.7585950872998841,2.040368572165565,689.3160190918854,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001886,653,6259,Bosanski Petrovac,Bosnia and Herzegovina,5.711876715683555,1.879201309944997,32.12090670702046,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
