Country,ADM1_CODE,ADM2_CODE,ADM2_NAME,Year,Median_Pop,StdDev_Pop,Total_Pop,system:index,.geo
Bosnia and Herzegovina,652,6241,Gornjedrinski,2012,0.1545895798806879,1.104291959236162,18984.214092059472,,
Bosnia and Herzegovina,652,6241,Gornjedrinski,2013,0.1559668046649538,1.092483318092808,18772.33158741037,,
Bosnia and Herzegovina,652,6241,Gornjedrinski,2014,0.1543154429036875,1.1726082567244789,19438.61731145296,,
Bosnia and Herzegovina,652,6241,Gornjedrinski,2015,0.1558758400629304,1.1837916943911586,19216.44082934627,0_00010000000000001879,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6241,Gornjedrinski,2016,0.1530003956605622,1.2108278201296503,18970.1175818534,1_00010000000000001879,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6241,Gornjedrinski,2017,0.1551555471364397,1.0580300646828953,18942.140460487262,2_00010000000000001879,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6241,Gornjedrinski,2018,0.153399237725167,1.2434230473456869,18871.35005821077,3_00010000000000001879,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6241,Gornjedrinski,2019,0.0938690187668893,1.2049610843559089,18844.925725732915,4_00010000000000001879,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6241,Gornjedrinski,2020,0.1559040157446615,1.053023620897801,18564.626065906526,5_00010000000000001879,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6241,Gornjedrinski,2021,0.091535544570503,1.223889595489908,18632.886217523937,6_00010000000000001879,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6241,Gornjedrinski,2022,0.0911223693350071,1.246832189340263,18578.953718958463,7_00010000000000001879,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6241,Gornjedrinski,2023,0.0909017693498867,1.2702781003332086,18525.062658798543,8_00010000000000001879,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6241,Gornjedrinski,2024,0.0909286501698493,1.2941743803559724,18474.14813047611,9_00010000000000001879,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6242,Neretvljanski,2012,0.2342888877658681,0.9435247611134304,147900.99268440346,,
Bosnia and Herzegovina,652,6242,Neretvljanski,2013,0.2341922212072283,0.8958796307403488,146612.2318089968,,
Bosnia and Herzegovina,652,6242,Neretvljanski,2014,0.2338968463149414,0.9726319122913502,149051.7565833254,,
Bosnia and Herzegovina,652,6242,Neretvljanski,2015,0.233948509154263,1.0035928604929318,150296.02521938816,0_00000000000000002373,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6242,Neretvljanski,2016,0.2029080283482129,1.043257863341462,149643.648070982,1_00000000000000002373,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6242,Neretvljanski,2017,0.2342478575998151,0.8630454999170549,144310.7410560636,2_00000000000000002373,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6242,Neretvljanski,2018,0.2031478659289229,1.030792656043254,147986.7706105404,3_00000000000000002373,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6242,Neretvljanski,2019,0.2031281259781036,1.019562097879163,148339.49333668704,4_00000000000000002373,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6242,Neretvljanski,2020,0.2343172061390392,0.9011455260832768,143671.33987803772,5_00000000000000002373,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6242,Neretvljanski,2021,0.2022656404902456,0.9618734208626712,145009.58262470615,6_00000000000000002373,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6242,Neretvljanski,2022,0.2022318986399503,0.9708919228784316,144749.52695673076,7_00000000000000002373,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6242,Neretvljanski,2023,0.2021667842596254,0.9806374945300264,144520.92771601086,8_00000000000000002373,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6242,Neretvljanski,2024,0.2023471379435082,0.991034442533202,144337.0860728067,9_00000000000000002373,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6243,Posavski,2012,0.5776872466273476,0.7478629499014187,26230.120899881327,,
Bosnia and Herzegovina,652,6243,Posavski,2013,0.5769782362443512,0.7017390476330693,25540.68181741943,,
Bosnia and Herzegovina,652,6243,Posavski,2014,0.577416860336226,0.7652289709358842,26031.82268176176,,
Bosnia and Herzegovina,652,6243,Posavski,2015,0.5461784146591265,0.7929270354728916,25622.79939787861,0_0001000000000000187a,"{""type"":""MultiPoint"",""coordinates"":[]}"
Bosnia and Herzegovina,652,6243,Posavski,2016,0.5156725742321161,0.8649805445013213,25541.58054579315,1_0001000000000000187a,"{""type"":""MultiPoint"",""coordinates"":[]}"
