system:index,ADM1_CODE,ADM2_CODE,ADM2_NAME,Country,Median_Pop,StdDev_Pop,Total_Pop,Year,.geo
1_1_2_00000000000000000cd6,2107,147350,El Hajeb,Morocco,0.734372826990421,6.273711388538743,200232.81289427582,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cd7,2107,147351,Meknès,Morocco,1.4096685094943766,24.839325490170776,589359.4113656662,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cda,2109,147352,Berkane Taourirt,Morocco,0.3870685115495965,10.530431620672065,349599.8830493402,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cdb,2109,147353,Jerada,Morocco,0.3609686382449103,5.005875850796014,55436.13784839455,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cdc,2109,147354,Oujda Angad,Morocco,0.20351066784604624,19.567031014299484,444649.9750065265,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cdf,147326,147339,Ben Slimane,Morocco,0.23756391370497582,4.219075867543431,242533.11539495166,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ce3,147328,147340,Fès,Morocco,0.6381859011959482,54.345435831532576,539839.6939698373,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ce4,147328,147341,Sefrou,Morocco,0.4135572589535383,10.813496236228248,180102.5785389535,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ce5,147328,147342,Zouagha-Moulay Yacoub,Morocco,1.4222882128783794,23.032175445556327,488598.5087888258,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ce8,147330,147343,Casablanca,Morocco,9.829280278629678,66.42254176178932,3242611.8781559784,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ce9,147330,147344,Mohammedia,Morocco,36.2626807610873,17.54926638308328,179958.35403705857,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cec,147331,147345,Assa-Zag,Morocco,0.05398150483767192,0.498474568321941,1749.7473455306845,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000ced,147331,147346,Guelmim,Morocco,0.13031433522961341,10.282544172053246,113021.25041438351,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cf1,147333,147347,Al Haouz,Morocco,1.1173511646125331,3.1484691066337325,236969.65646361056,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cf2,147333,147348,Chichaoua,Morocco,0.3591139245195856,2.893949219601108,138042.8459913782,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cf3,147333,147349,Marrakech,Morocco,1.2330075753076666,34.9184926331085,1049554.3283746147,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cf7,147334,147355,Skhirate-Témara,Morocco,0.2931953914287352,18.20286144922388,503619.1389098265,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cfa,147335,147356,Agadir-Ida ou Tanane,Morocco,1.3856014725152204,19.068563370606395,558119.6876536834,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cfb,147335,147357,Chtouka-Aït Baha,Morocco,0.7207217810472754,4.459380746917563,247845.21721277724,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cfc,147335,147358,Inezgane-Aït Melloul,Morocco,3.468540901312798,23.830502973225382,314638.4813420017,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cfd,147335,147359,Ouarzazate,Morocco,0.13846615218363234,3.564904786632826,315336.8839882085,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000cfe,147335,147360,Zagora,Morocco,0.8746528492639791,5.778994291667546,50834.083679351985,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000d04,147337,147361,Fahs Anjra,Morocco,0.6898336157889352,40.700390376700554,393435.03324403457,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000000d05,147337,147362,Tanger-Assilah,Morocco,0.6729328347517111,23.274788596661434,460645.109724415,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002068,1701,65716,Ajloon,Jordan,2.06496254192899,2.2551863734134856,85765.85788292825,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002069,1703,65718,Wadi Araba,Jordan,0.02698730565457962,0.032475272404773485,351.6505315481959,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000206a,1702,65722,Al-Salt,Jordan,3.186186042773293,3.9407387670718013,76078.6393406212,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000206b,1707,65740,Irbid,Jordan,8.124025638594619,12.830523542357271,378070.1460593621,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000206c,1704,65724,Al-Qaser,Jordan,1.0290585894932156,1.951774691049293,14030.097590316658,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000206d,1704,65725,Al-Qatraneh,Jordan,0.058506689986164886,0.1546346497641427,1987.890049944369,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000206e,1709,65744,Ma'an,Jordan,0.08623348224255831,1.252474994368975,20974.01185040482,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_0000000000000000206f,1710,65745,Madaba,Jordan,0.867836978494218,6.726430675307145,93390.7385582014,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002070,1710,65746,Theeban,Jordan,0.7801477613474661,1.1378237482312619,17874.689281033847,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002071,1711,65728,Al-ruwaished,Jordan,0.07643023126650929,0.3324028156405386,9180.829041638117,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002072,1711,65729,Bal'ama,Jordan,0.6560848680491039,0.8613058642547019,39422.00754042136,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002073,1706,65735,Tafiela,Jordan,0.42883225324171226,2.2465816177428772,30727.75128018731,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002074,1712,65736,Al-Hashimiya,Jordan,0.01398791722278781,0.39408230092484653,4255.694111915907,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002075,1711,65731,Sabha,Jordan,0.3420306553205958,1.0284586419633037,19441.505914351197,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002076,1712,65738,Zarqa,Jordan,2.2301080433911893,12.705305154398832,462604.3070040288,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002077,1711,65730,Mafraq,Jordan,0.8103963837806983,3.0934370727909317,127814.85591389242,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002078,1711,65732,Sama Al-Serhan,Jordan,0.7819030516632406,1.6276638968346806,30350.125957894546,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_00000000000000002079,1707,65739,Al-Wasatiya,Jordan,3.813097672099426,3.5330726809217516,23578.86881049123,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
