Country,ADM1_CODE,ADM2_CODE,ADM2_NAME,Year,Median_Pop,StdDev_Pop,Total_Pop
Bosnia and Herzegovina,652,6241,Gornjedrinski,2012,0.1545895798806879,1.104291959236162,18984.214092059472
Bosnia and Herzegovina,652,6241,Gornjedrinski,2013,0.1559668046649538,1.092483318092808,18772.33158741037
Bosnia and Herzegovina,652,6241,Gornjedrinski,2014,0.1543154429036875,1.1726082567244789,19438.61731145296
Bosnia and Herzegovina,652,6241,Gornjedrinski,2015,0.1558758400629304,1.1837916943911586,19216.44082934627
Bosnia and Herzegovina,652,6241,Gornjedrinski,2016,0.1530003956605622,1.2108278201296503,18970.1175818534
Bosnia and Herzegovina,652,6241,Gornjedrinski,2017,0.1551555471364397,1.0580300646828953,18942.140460487262
Bosnia and Herzegovina,652,6241,Gornjedrinski,2018,0.153399237725167,1.2434230473456869,18871.35005821077
Bosnia and Herzegovina,652,6241,Gornjedrinski,2019,0.0938690187668893,1.2049610843559089,18844.925725732915
Bosnia and Herzegovina,652,6241,Gornjedrinski,2020,0.1559040157446615,1.053023620897801,18564.626065906526
Bosnia and Herzegovina,652,6241,Gornjedrinski,2021,0.15607,1.04662,18512.17756
Bosnia and Herzegovina,652,6241,Gornjedrinski,2022,0.15623,1.04021,18459.72906
Bosnia and Herzegovina,652,6241,Gornjedrinski,2023,0.1564,1.0338,18407.28056
Bosnia and Herzegovina,652,6241,Gornjedrinski,2024,0.15656,1.02739,18354.83205
Bosnia and Herzegovina,652,6242,Neretvljanski,2012,0.2342888877658681,0.9435247611134304,147900.99268440346
Bosnia and Herzegovina,652,6242,Neretvljanski,2013,0.2341922212072283,0.8958796307403488,146612.2318089968
Bosnia and Herzegovina,652,6242,Neretvljanski,2014,0.2338968463149414,0.9726319122913502,149051.7565833254
Bosnia and Herzegovina,652,6242,Neretvljanski,2015,0.233948509154263,1.0035928604929318,150296.02521938816
Bosnia and Herzegovina,652,6242,Neretvljanski,2016,0.2029080283482129,1.043257863341462,149643.648070982
Bosnia and Herzegovina,652,6242,Neretvljanski,2017,0.2342478575998151,0.8630454999170549,144310.7410560636
Bosnia and Herzegovina,652,6242,Neretvljanski,2018,0.2031478659289229,1.030792656043254,147986.7706105404
Bosnia and Herzegovina,652,6242,Neretvljanski,2019,0.2031281259781036,1.019562097879163,148339.49333668704
Bosnia and Herzegovina,652,6242,Neretvljanski,2020,0.2343172061390392,0.9011455260832768,143671.33987803772
Bosnia and Herzegovina,652,6242,Neretvljanski,2021,0.23432,0.89585,143142.63328
Bosnia and Herzegovina,652,6242,Neretvljanski,2022,0.23432,0.89055,142613.92668
Bosnia and Herzegovina,652,6242,Neretvljanski,2023,0.23433,0.88525,142085.22008
Bosnia and Herzegovina,652,6242,Neretvljanski,2024,0.23433,0.87996,141556.51347
Bosnia and Herzegovina,652,6243,Posavski,2012,0.5776872466273476,0.7478629499014187,26230.120899881327
Bosnia and Herzegovina,652,6243,Posavski,2013,0.5769782362443512,0.7017390476330693,25540.68181741943
Bosnia and Herzegovina,652,6243,Posavski,2014,0.577416860336226,0.7652289709358842,26031.82268176176
Bosnia and Herzegovina,652,6243,Posavski,2015,0.5461784146591265,0.7929270354728916,25622.79939787861
Bosnia and Herzegovina,652,6243,Posavski,2016,0.5156725742321161,0.8649805445013213,25541.58054579315
Bosnia and Herzegovina,652,6243,Posavski,2017,0.5464613704728521,0.6911532519534225,25263.979988636464
Bosnia and Herzegovina,652,6243,Posavski,2018,0.4833409753722642,0.8737751703529955,25384.700458779105
Bosnia and Herzegovina,652,6243,Posavski,2019,0.5147545692452291,0.8262288154899373,25479.2642066337
Bosnia and Herzegovina,652,6243,Posavski,2020,0.515479705899338,0.7695606665845518,25176.441049680987
Bosnia and Herzegovina,652,6243,Posavski,2021,0.5077,0.77227,25044.73107
Bosnia and Herzegovina,652,6243,Posavski,2022,0.49993,0.77499,24913.02109
Bosnia and Herzegovina,652,6243,Posavski,2023,0.49215,0.7777,24781.31111
Bosnia and Herzegovina,652,6243,Posavski,2024,0.48438,0.78041,24649.60112
Bosnia and Herzegovina,652,6244,Sarajevo,2012,0.107504349578745,7.945206426807722,353888.05967587326
Bosnia and Herzegovina,652,6244,Sarajevo,2013,0.7500964101817912,7.72085398503514,349451.6211473046
Bosnia and Herzegovina,652,6244,Sarajevo,2014,0.1023708175707952,7.92270612795172,350429.44229832874
Bosnia and Herzegovina,652,6244,Sarajevo,2015,0.1031956215951574,7.955443639399715,349182.85823303007
Bosnia and Herzegovina,652,6244,Sarajevo,2016,0.1005250059149806,7.950681379724382,347031.97928249976
Bosnia and Herzegovina,652,6244,Sarajevo,2017,0.1007338609850389,7.718985973091486,344735.9864829835
Bosnia and Herzegovina,652,6244,Sarajevo,2018,0.1005456087786182,7.905615601350225,344473.70754785574
Bosnia and Herzegovina,652,6244,Sarajevo,2019,0.1012548364658555,7.822479926711769,343393.769630391
Bosnia and Herzegovina,652,6244,Sarajevo,2020,0.1020842851944611,7.664862415946701,339865.6800255647
Bosnia and Herzegovina,652,6244,Sarajevo,2021,0.10141,7.62982,338112.88257
Bosnia and Herzegovina,652,6244,Sarajevo,2022,0.10073,7.59478,336360.08511
