mask,buffer_m,fold_index,R2,RMSE,MAE
no,,1,0.3818,0.1178,0.0904
no,,2,0.3256,0.1359,0.1049
no,,3,0.5698,0.1371,0.1039
no,,4,0.6051,0.1045,0.0723
no,,5,0.571,0.1265,0.0962
yes,0.0,1,0.454,0.1307,0.1002
yes,0.0,2,0.2591,0.1407,0.1129
yes,0.0,3,0.703,0.1056,0.0791
yes,0.0,4,0.4131,0.1001,0.069
yes,0.0,5,0.8032,0.0907,0.0652
yes,250.0,1,0.4826,0.1272,0.098
yes,250.0,2,0.3014,0.1367,0.1097
yes,250.0,3,0.7017,0.1058,0.0808
yes,250.0,4,0.4665,0.0954,0.0646
yes,250.0,5,0.7932,0.0929,0.0657
yes,500.0,1,0.563,0.1229,0.0984
yes,500.0,2,-0.0389,0.1248,0.0958
yes,500.0,3,0.7721,0.1009,0.077
yes,500.0,4,0.4209,0.1185,0.0898
yes,500.0,5,0.5639,0.1144,0.0782
yes,1000.0,1,0.5396,0.12,0.0935
yes,1000.0,2,0.2816,0.1386,0.1116
yes,1000.0,3,0.6842,0.1089,0.0832
yes,1000.0,4,0.3706,0.1036,0.0733
yes,1000.0,5,0.7553,0.1011,0.0722
yes,2000.0,1,0.532,0.121,0.0941
yes,2000.0,2,0.2518,0.1414,0.1126
yes,2000.0,3,0.6901,0.1079,0.0829
yes,2000.0,4,0.432,0.0985,0.0702
yes,2000.0,5,0.7592,0.1003,0.0738
yes,3000.0,1,0.5135,0.1234,0.0961
yes,3000.0,2,0.2797,0.1388,0.1095
yes,3000.0,3,0.6569,0.1135,0.0886
yes,3000.0,4,0.3977,0.1014,0.0728
yes,3000.0,5,0.7421,0.1038,0.0773
