model,mask,cv_strategy,fold_index,R2,RMSE,MAE,n_test_obs
DNN,yes,random,1,0.8241,0.0738,0.0538,1066
DNN,yes,random,2,0.8941,0.056,0.0411,1066
DNN,yes,random,3,0.876,0.0633,0.0455,1066
DNN,yes,random,4,0.8757,0.0624,0.0453,1066
DNN,yes,random,5,0.8709,0.0642,0.0471,1066
DNN,yes,governorate,1,0.6566,0.1058,0.0772,1066
DNN,yes,governorate,2,0.5637,0.1208,0.0853,1066
DNN,yes,governorate,3,0.6365,0.1062,0.0806,1066
DNN,yes,governorate,4,0.5532,0.1134,0.0814,1066
DNN,yes,governorate,5,0.6704,0.0995,0.0706,1066
DNN,yes,country,1,0.4386,0.1553,0.129,1066
DNN,yes,country,2,-0.3911,0.1417,0.1052,1067
DNN,yes,country,3,0.4539,0.1325,0.0975,1065
DNN,yes,country,4,0.5346,0.1179,0.0918,1066
DNN,yes,country,5,0.2739,0.1452,0.1054,1066
DNN,yes,timeseries,1,0.7097,0.101,0.0729,888
DNN,yes,timeseries,2,0.6649,0.1006,0.0738,888
DNN,yes,timeseries,3,0.7828,0.0796,0.0578,888
DNN,yes,timeseries,4,0.7276,0.0868,0.0638,888
DNN,yes,timeseries,5,0.8241,0.0666,0.0475,888
DNN,no,random,1,0.8403,0.0713,0.0523,1138
DNN,no,random,2,0.8315,0.074,0.0537,1138
DNN,no,random,3,0.8431,0.0705,0.0494,1138
DNN,no,random,4,0.8284,0.0751,0.0552,1137
DNN,no,random,5,0.8567,0.0682,0.0491,1137
DNN,no,governorate,1,0.5488,0.1225,0.0876,1138
DNN,no,governorate,2,0.6412,0.1143,0.0805,1138
DNN,no,governorate,3,0.6312,0.1071,0.0734,1138
DNN,no,governorate,4,0.5818,0.1064,0.0796,1137
DNN,no,governorate,5,0.6638,0.1058,0.08,1137
DNN,no,country,1,0.1,0.1419,0.1086,1137
DNN,no,country,2,0.3607,0.1563,0.1206,1138
DNN,no,country,3,0.5258,0.1297,0.0985,1137
DNN,no,country,4,0.0645,0.1462,0.1065,1138
DNN,no,country,5,0.3396,0.157,0.1213,1138
DNN,no,timeseries,1,0.638,0.1132,0.0796,948
DNN,no,timeseries,2,0.724,0.0944,0.0671,948
DNN,no,timeseries,3,0.7682,0.0852,0.0612,948
DNN,no,timeseries,4,0.7878,0.0764,0.0538,948
DNN,no,timeseries,5,0.6712,0.095,0.0649,948
DNN+KNN,yes,random,1,0.9062,0.0539,0.0368,1066
DNN+KNN,yes,random,2,0.9301,0.0455,0.0315,1066
DNN+KNN,yes,random,3,0.9236,0.0497,0.0335,1066
DNN+KNN,yes,random,4,0.9188,0.0505,0.034,1066
DNN+KNN,yes,random,5,0.9232,0.0495,0.0343,1066
DNN+KNN,yes,governorate,1,0.6359,0.109,0.0786,1066
DNN+KNN,yes,governorate,2,0.6794,0.1035,0.0767,1066
DNN+KNN,yes,governorate,3,0.5991,0.1115,0.083,1066
DNN+KNN,yes,governorate,4,0.5873,0.109,0.0775,1066
DNN+KNN,yes,governorate,5,0.6867,0.097,0.0683,1066
DNN+KNN,yes,country,1,0.5256,0.1428,0.1171,1066
DNN+KNN,yes,country,2,-0.4935,0.1469,0.1083,1067
DNN+KNN,yes,country,3,0.4523,0.1327,0.0964,1065
DNN+KNN,yes,country,4,0.5062,0.1214,0.0947,1066
DNN+KNN,yes,country,5,0.3717,0.1351,0.0983,1066
DNN+KNN,yes,timeseries,1,0.8192,0.0797,0.0577,888
DNN+KNN,yes,timeseries,2,0.738,0.089,0.0627,888
DNN+KNN,yes,timeseries,3,0.8426,0.0678,0.0465,888
DNN+KNN,yes,timeseries,4,0.8629,0.0616,0.0435,888
DNN+KNN,yes,timeseries,5,0.8898,0.0527,0.0345,888
DNN+KNN,no,random,1,0.8878,0.0598,0.0407,1138
DNN+KNN,no,random,2,0.8958,0.0582,0.0393,1138
DNN+KNN,no,random,3,0.9009,0.056,0.0379,1138
DNN+KNN,no,random,4,0.8906,0.06,0.0404,1137
DNN+KNN,no,random,5,0.8987,0.0574,0.0389,1137
DNN+KNN,no,governorate,1,0.5208,0.1262,0.0885,1138
DNN+KNN,no,governorate,2,0.6265,0.1166,0.0807,1138
DNN+KNN,no,governorate,3,0.6263,0.1078,0.076,1138
DNN+KNN,no,governorate,4,0.5962,0.1045,0.0761,1137
DNN+KNN,no,governorate,5,0.6426,0.1091,0.0779,1137
DNN+KNN,no,country,1,0.1181,0.1405,0.1063,1137
DNN+KNN,no,country,2,0.3765,0.1543,0.1174,1138
DNN+KNN,no,country,3,0.4032,0.1455,0.1138,1137
DNN+KNN,no,country,4,0.0325,0.1486,0.1096,1138
DNN+KNN,no,country,5,0.3259,0.1586,0.1232,1138
DNN+KNN,no,timeseries,1,0.7043,0.1023,0.0695,948
DNN+KNN,no,timeseries,2,0.7616,0.0877,0.0605,948
DNN+KNN,no,timeseries,3,0.8385,0.0712,0.0485,948
DNN+KNN,no,timeseries,4,0.8334,0.0677,0.044,948
DNN+KNN,no,timeseries,5,0.7198,0.0877,0.057,948
DNN+XGB,yes,random,1,0.876,0.062,0.0447,1066
DNN+XGB,yes,random,2,0.9081,0.0521,0.0373,1066
DNN+XGB,yes,random,3,0.8987,0.0572,0.0408,1066
DNN+XGB,yes,random,4,0.9009,0.0557,0.0398,1066
DNN+XGB,yes,random,5,0.8984,0.0569,0.0415,1066
DNN+XGB,yes,governorate,1,0.7516,0.09,0.0665,1066
DNN+XGB,yes,governorate,2,0.7173,0.0972,0.0706,1066
DNN+XGB,yes,governorate,3,0.6942,0.0974,0.0726,1066
DNN+XGB,yes,governorate,4,0.6983,0.0932,0.0662,1066
DNN+XGB,yes,governorate,5,0.7407,0.0883,0.0639,1066
DNN+XGB,yes,country,1,0.5165,0.1156,0.0903,1066
DNN+XGB,yes,country,2,0.4139,0.0941,0.0675,1067
