Country,Governorate,District,ADM1_CODE,ADM2_CODE,Year,Predicted MPI,Predicted Severe Poverty %
Egypt,Alexandria,A L Labban,61510,61537,2024,0.0,0.0413
Egypt,Alexandria,Al Amreia,61510,61538,2024,0.0,0.0413
Egypt,Alexandria,Al Attarin,61510,61539,2024,0.0,0.0413
Egypt,Alexandria,Al Dikhila,61510,61540,2024,0.0,0.0413
Egypt,Alexandria,Al Gumruk,61510,61541,2024,0.0,0.0413
Egypt,Alexandria,Al Manshiyya,61510,61542,2024,0.0,0.0413
Egypt,Alexandria,Bab Sharqi,61510,61544,2024,0.0,0.0413
Egypt,Alexandria,Burg al-Arab,61510,61545,2024,0.0,0.0413
Egypt,Alexandria,Burg Al-Arab City,61510,61546,2024,0.0,0.0413
Egypt,Alexandria,Karmuz,61510,61547,2024,0.0,0.0413
Egypt,Alexandria,Kesm than Al Raml,61510,61548,2024,0.0,0.0413
Egypt,Alexandria,Mina Al-Basal,61510,61549,2024,0.0,0.0413
Egypt,Alexandria,Muharam Bik,61510,61550,2024,0.0,0.0413
Egypt,Alexandria,Muntazah,61510,61551,2024,0.0,0.0413
Egypt,Alexandria,Port Alexandria Police Department,61510,61553,2024,0.0,0.0413
Egypt,Alexandria,Sidi Gabir,61510,61554,2024,0.0,0.0413
Egypt,Alexandria,Zemam Out,61510,61555,2024,0.398931,44.213
Egypt,Assiut,Abnub,61511,61556,2024,0.078627,4.2983
Egypt,Assiut,Abu Tig,61511,61557,2024,0.0,0.0413
Egypt,Assiut,Al- Badari,61511,61558,2024,0.0,0.0413
Egypt,Assiut,Al-Ghanayem,61511,61559,2024,0.039655,1.8149
Egypt,Assiut,Al-Qusia,61511,61560,2024,0.0,0.0413
Egypt,Assiut,Alfath,61511,61561,2024,0.0,0.0413
Egypt,Assiut,Assuit,61511,61562,2024,0.0,0.0413
Egypt,Assiut,Assuit City,61511,61563,2024,0.0,0.0413
Egypt,Assiut,Dayrut,61511,61564,2024,0.0,0.0413
Egypt,Assiut,Kesm Awal Assuit,61511,61565,2024,0.0,0.0413
Egypt,Assiut,Kesm Than Assuit,61511,61566,2024,0.0,0.0413
Egypt,Assiut,Manfalut,61511,61567,2024,0.0,0.0413
Egypt,Assiut,Sahil Silim,61511,61568,2024,0.0,0.0413
Egypt,Assiut,Sidfa,61511,61569,2024,0.0,0.0413
Egypt,Assiut,Zemam Out,61511,61570,2024,0.0,0.0413
Egypt,Aswan,Adfu,61512,61572,2024,0.0,0.0413
Egypt,Aswan,Aswan,61512,61573,2024,0.0,0.0413
Egypt,Aswan,Daraw,61512,61575,2024,0.0,0.0413
Egypt,Aswan,Kum Umbu,61512,61576,2024,0.0,0.0413
Egypt,Aswan,Nasr,61512,61577,2024,0.0,0.0413
Egypt,Aswan,Tushaka,61512,61578,2024,0.234409,20.2697
Egypt,Behera,Abu-l-Matamir,61513,61580,2024,0.155615,11.11
Egypt,Behera,Abu Hummus,61513,61581,2024,0.301104,29.3623
Egypt,Behera,Al-Dilingat,61513,61582,2024,0.300336,29.252
Egypt,Behera,Al-Mahmudiyya,61513,61583,2024,0.253573,22.7728
Egypt,Behera,Al-Rahmaniyya,61513,61584,2024,0.152477,10.7876
Egypt,Behera,Badr,61513,61585,2024,0.153755,10.9184
Egypt,Behera,Damanhur,61513,61586,2024,0.315047,31.3861
Egypt,Behera,Hush Isa,61513,61587,2024,0.29867,29.0129
Egypt,Behera,Idku,61513,61588,2024,0.0,0.0413
Egypt,Behera,Itay Al-Barud,61513,61589,2024,0.250326,22.3419
Egypt,Behera,Kafr Al-Dawwar,61513,61590,2024,0.288427,27.556
Egypt,Behera,Kum Hamada,61513,61591,2024,0.164483,12.0399
Egypt,Behera,Nubariyya West,61513,61592,2024,0.416258,46.9655
Egypt,Behera,Rashid,61513,61593,2024,0.0,0.0413
Egypt,Behera,Shubra Khît,61513,61594,2024,0.243288,21.4174
Egypt,Behera,Wadi Al-NatrUn,61513,61595,2024,0.0,0.0413
Egypt,Behera,Zemam Out,61513,61596,2024,0.093138,5.3974
Egypt,Beni Suef,Ahnasya,61514,61597,2024,0.129676,8.5539
Egypt,Beni Suef,Al Fashn,61514,61598,2024,0.235621,20.4251
Egypt,Beni Suef,Al Wasta,61514,61599,2024,0.0,0.0413
Egypt,Beni Suef,Bani Swayf,61514,61600,2024,0.0,0.0413
Egypt,Beni Suef,Bani Swayf City,61514,61601,2024,0.034935,1.5626
Egypt,Beni Suef,Biba,61514,61602,2024,0.0,0.0413
Egypt,Beni Suef,Nasir,61514,61603,2024,0.0,0.0413
Egypt,Beni Suef,Sumusta,61514,61604,2024,0.196326,15.5992
Egypt,Beni Suef,Zemam Out,61514,61605,2024,0.187123,14.5364
Egypt,Cairo,15 Mayu,61515,61606,2024,0.0,0.0413
Egypt,Cairo,Abdin,61515,61607,2024,0.0,0.0413
Egypt,Cairo,Ain Shams,61515,61608,2024,0.0,0.0413
Egypt,Cairo,Al Azbakiyya,61515,61609,2024,0.0,0.0413
Egypt,Cairo,Al Darb al-Ahmar,61515,61610,2024,0.0,0.0413
Egypt,Cairo,Al Khalifa,61515,61611,2024,0.0,0.0413
Egypt,Cairo,Al Matariyya,61515,61612,2024,0.0,0.0413
Egypt,Cairo,Al Sahil,61515,61613,2024,0.0,0.0413
Egypt,Cairo,Al Salam,61515,61614,2024,0.0,0.0413
Egypt,Cairo,Al Sharabiyya,61515,61615,2024,0.0,0.0413
Egypt,Cairo,Al Tibbin,61515,61616,2024,0.0,0.0413
Egypt,Cairo,Al Wayli,61515,61617,2024,0.0,0.0413
Egypt,Cairo,Al Zahir,61515,61618,2024,0.0,0.0413
Egypt,Cairo,Al Zaytun,61515,61619,2024,0.0,0.0413
Egypt,Cairo,Bab Al-Shariyya,61515,61620,2024,0.0,0.0413
Egypt,Cairo,Badr,61515,61621,2024,0.0,0.0413
Egypt,Cairo,Basatin,61515,61622,2024,0.0,0.0413
Egypt,Cairo,Bulaq,61515,61623,2024,0.0,0.0413
Egypt,Cairo,Gamaliyya,61515,61624,2024,0.0,0.0413
Egypt,Cairo,Hadaiq Al-Qubba,61515,61625,2024,0.0,0.0413
Egypt,Cairo,Hilwan,61515,61626,2024,0.0,0.0413
Egypt,Cairo,Maadi,61515,61627,2024,0.0,0.0413
Egypt,Cairo,Madinat Nasr-2,61515,61628,2024,0.0,0.0413
Egypt,Cairo,Marg,61515,61629,2024,0.0,0.0413
Egypt,Cairo,Minshat Nasir,61515,61630,2024,0.0,0.0413
Egypt,Cairo,Misr al-Gadida,61515,61631,2024,0.0,0.0413
Egypt,Cairo,Misr Al-Qadima,61515,61632,2024,0.0,0.0413
Egypt,Cairo,Muski,61515,61633,2024,0.0,0.0413
Egypt,Cairo,Nasr City,61515,61634,2024,0.0,0.0413
Egypt,Cairo,New Cairo-1,61515,61635,2024,0.0,0.0413
Egypt,Cairo,New Cairo-2,61515,61636,2024,0.0,0.0413
Egypt,Cairo,New Cairo-3,61515,61637,2024,0.0,0.0413
Egypt,Cairo,Nuzha,61515,61638,2024,0.0,0.0413
Egypt,Cairo,Qasr Al-Nile,61515,61639,2024,0.0,0.0413
Egypt,Cairo,Rud Al-Farag,61515,61640,2024,0.0,0.0413
Egypt,Cairo,Sayyida Zainab,61515,61641,2024,0.0,0.0413
Egypt,Cairo,Shroq,61515,61642,2024,0.0,0.0413
Egypt,Cairo,Shubra,61515,61643,2024,0.0,0.0413
Egypt,Cairo,Tura,61515,61644,2024,0.0,0.0413
Egypt,Cairo,Zamalik,61515,61645,2024,0.0,0.0413
Egypt,Cairo,Zawiyya Al-Hamra,61515,61646,2024,0.0,0.0413
Egypt,Cairo,Zemam Out,61515,61647,2024,0.0,0.0413
Egypt,Dakahlia,Aga,61516,61648,2024,0.0,0.0413
Egypt,Dakahlia,Bany Abeed,61516,61649,2024,0.248207,22.0622
Egypt,Dakahlia,Bilqas,61516,61650,2024,0.336194,34.5227
Egypt,Dakahlia,Dikirnis,61516,61651,2024,0.293814,28.3196
Egypt,Dakahlia,E Mansora 2,61516,61652,2024,0.0,0.0413
Egypt,Dakahlia,El Mansora,61516,61653,2024,0.013351,0.5495
Egypt,Dakahlia,El Mansora 1,61516,61654,2024,0.0,0.0413
Egypt,Dakahlia,Gamaliyya,61516,61655,2024,0.339283,34.9872
Egypt,Dakahlia,Gamsa,61516,61656,2024,0.0,0.0413
Egypt,Dakahlia,Mahalet Demna,61516,61657,2024,0.275132,25.6983
Egypt,Dakahlia,Manzala,61516,61658,2024,0.301846,29.4691
Egypt,Dakahlia,Matariyya,61516,61659,2024,0.0,0.0413
Egypt,Dakahlia,Minya Al-Nasr,61516,61660,2024,0.283223,26.8243
Egypt,Dakahlia,Mit Ghamr,61516,61661,2024,0.0,0.0413
Egypt,Dakahlia,MIt Salsil,61516,61662,2024,0.33425,34.2312
Egypt,Dakahlia,Nebro,61516,61663,2024,0.292422,28.1217
Egypt,Dakahlia,Shirbin,61516,61664,2024,0.244631,21.5929
Egypt,Dakahlia,Sinbillawin,61516,61665,2024,0.298836,29.0368
Egypt,Dakahlia,Talkha,61516,61666,2024,0.0,0.0413
Egypt,Dakahlia,Tamy Al-Amdid,61516,61667,2024,0.276921,25.9461
Egypt,Damietta,Dumyat,61517,61668,2024,0.0,0.0413
Egypt,Damietta,Dumyat 1,61517,61669,2024,0.0,0.0413
Egypt,Damietta,Dumyat 2,61517,61670,2024,0.0,0.0413
Egypt,Damietta,Dumyat Al-Gadida,61517,61671,2024,0.0,0.0413
Egypt,Damietta,Fariskur,61517,61672,2024,0.258693,23.4574
