Country,Governorate,District,ADM1_CODE,ADM2_CODE,Year,Predicted MPI,Predicted Severe Poverty %
Kyrgyzstan,Naryn,At-Bashy,1749,18612,2024,0.172743,12.9308
Kyrgyzstan,Ysyk-Kol,Jeti-Oguz,1752,18628,2024,0.12982,8.5674
Kyrgyzstan,Ysyk-Kol,Ak-Suu,1752,18627,2024,0.000451,0.057
Kyrgyzstan,Jalal-Abad,Toktogul,1748,18610,2024,0.217293,18.1182
Kyrgyzstan,Ysyk-Kol,Tong,1752,18629,2024,0.076019,4.1105
Kyrgyzstan,Naryn,Naryn,1749,18615,2024,0.303,29.6353
Kyrgyzstan,Jalal-Abad,Chatkal,1748,18606,2024,0.246222,21.8012
Kyrgyzstan,Naryn,Kochkor,1749,18614,2024,0.31997,32.1092
Kyrgyzstan,Osh,Alay,1750,18616,2024,0.263465,24.1013
Kyrgyzstan,Batken,Batken,1746,18592,2024,0.2259,19.1898
Kyrgyzstan,Chuy,Panfilov,147294,18600,2024,0.262395,23.9565
Kyrgyzstan,Chuy,Kemin,147294,18598,2024,0.231925,19.9524
Kyrgyzstan,Ysyk-Kol,Ysyk-Kol,1752,18631,2024,0.1005,5.9895
Kyrgyzstan,Talas,Talas,1751,18626,2024,0.119975,7.6635
Kyrgyzstan,Osh,Kara-Kulja,1750,18619,2024,0.237982,20.729
Kyrgyzstan,Naryn,Ak-Talaa,1749,18611,2024,0.325713,32.9585
Kyrgyzstan,Naryn,Jumgal,1749,18613,2024,0.314059,31.2414
Kyrgyzstan,Osh,Chong-Alay,1750,18618,2024,0.331921,33.8827
Kyrgyzstan,Jalal-Abad,Toguz-Toro,1748,18609,2024,0.271319,25.1729
Kyrgyzstan,Jalal-Abad,Aksy,1748,18603,2024,0.260823,23.7442
Kyrgyzstan,Ysyk-Kol,Tup,1752,18630,2024,0.182541,14.0174
Kyrgyzstan,Osh,Nookat,1750,18621,2024,0.107113,6.5406
Kyrgyzstan,Osh,Ozgon,1750,18622,2024,0.207568,16.9333
Kyrgyzstan,Jalal-Abad,Suzak,1748,18608,2024,0.169531,12.5816
Kyrgyzstan,Batken,Leylek,1746,18594,2024,0.331183,33.7725
Kyrgyzstan,Osh,Kara-Suu,1750,18620,2024,0.13393,8.9558
Kyrgyzstan,Jalal-Abad,Bazar-Korgon,1748,18605,2024,0.18392,14.1728
Kyrgyzstan,Jalal-Abad,Ala-Buka,1748,18604,2024,0.172769,12.9336
Kyrgyzstan,Talas,Kara-Buura,1751,18624,2024,0.22516,19.0969
Kyrgyzstan,Talas,Bakay-Ata,1751,18623,2024,0.238781,20.8323
Kyrgyzstan,Jalal-Abad,Nooken,1748,18607,2024,0.222012,18.7031
Kyrgyzstan,Chuy,Jayyl,147294,18597,2024,0.20441,16.5546
Kyrgyzstan,Chuy,Sokuluk,147294,18601,2024,0.164357,12.0266
Kyrgyzstan,Chuy,Moskva,147294,18599,2024,0.195599,15.5143
Kyrgyzstan,Chuy,Alamudun,147294,18595,2024,0.0,0.0413
Kyrgyzstan,Chuy,Chuy,147294,18596,2024,0.156854,11.2383
Kyrgyzstan,Talas,Manas,1751,18625,2024,0.200622,16.1045
Kyrgyzstan,Chuy,Ysyk-Ata,147294,18602,2024,0.230413,19.7601
Kyrgyzstan,Osh,Aravan,1750,18617,2024,0.145534,10.087
Kyrgyzstan,Batken,Kadamjay,1746,18593,2024,0.16671,12.2778
