Country,Governorate,District,ADM1_CODE,ADM2_CODE,Year,Predicted MPI,Predicted Severe Poverty %
Morocco,Meknès - Tafilalet,El Hajeb,2107,147350,2024,0.20329,16.4211
Morocco,Meknès - Tafilalet,Meknès,2107,147351,2024,0.0,0.0413
Morocco,Oriental,Berkane Taourirt,2109,147352,2024,0.13681,9.2318
Morocco,Oriental,Jerada,2109,147353,2024,0.105907,6.4387
Morocco,Oriental,Oujda Angad,2109,147354,2024,0.0,0.0413
Morocco,Chaouia - Ouardigha,Ben Slimane,147326,147339,2024,0.212464,17.5264
Morocco,Fès - Boulemane,Fès,147328,147340,2024,0.0,0.0413
Morocco,Fès - Boulemane,Sefrou,147328,147341,2024,0.183241,14.0962
Morocco,Fès - Boulemane,Zouagha-Moulay Yacoub,147328,147342,2024,0.0,0.0413
Morocco,Grand Casablanca,Casablanca,147330,147343,2024,0.0,0.0413
Morocco,Grand Casablanca,Mohammedia,147330,147344,2024,0.0,0.0413
Morocco,Guelmim - Es-Semara,Assa-Zag,147331,147345,2024,0.118532,7.5342
Morocco,Guelmim - Es-Semara,Guelmim,147331,147346,2024,0.11689,7.3881
Morocco,Marrakech - Tensift - Al Haouz,Al Haouz,147333,147347,2024,0.332851,34.0217
Morocco,Marrakech - Tensift - Al Haouz,Chichaoua,147333,147348,2024,0.215161,17.8561
Morocco,Marrakech - Tensift - Al Haouz,Marrakech,147333,147349,2024,0.133174,8.8839
Morocco,Rabat - Salé - Zemmour - Zaer,Skhirate-Témara,147334,147355,2024,0.0,0.0413
Morocco,Souss - Massa - Draâ,Agadir-Ida ou Tanane,147335,147356,2024,0.0,0.0413
Morocco,Souss - Massa - Draâ,Chtouka-Aït Baha,147335,147357,2024,0.201897,16.2554
Morocco,Souss - Massa - Draâ,Inezgane-Aït Melloul,147335,147358,2024,0.0,0.0413
Morocco,Souss - Massa - Draâ,Ouarzazate,147335,147359,2024,0.212481,17.5284
Morocco,Souss - Massa - Draâ,Zagora,147335,147360,2024,0.230845,19.815
Morocco,Tanger - Tétouan,Fahs Anjra,147337,147361,2024,0.0,0.0413
Morocco,Tanger - Tétouan,Tanger-Assilah,147337,147362,2024,0.0,0.0413
Morocco,Meknès - Tafilalet,Errachidia,2107,21792,2024,0.148371,10.3712
Morocco,Meknès - Tafilalet,Ifrane,2107,21793,2024,0.0,0.0413
Morocco,Meknès - Tafilalet,Khénifra,2107,21794,2024,0.005407,0.236
Morocco,Oriental,Figuig,2109,21818,2024,0.0,0.0413
Morocco,Oriental,Nador,2109,21819,2024,0.168755,12.4978
Morocco,Chaouia - Ouardigha,Khouribga,147326,21805,2024,0.1092,6.7182
Morocco,Chaouia - Ouardigha,Settat,147326,21806,2024,0.256638,23.1819
Morocco,Doukkala - Abda,El Jadida,147327,21804,2024,0.247038,21.9085
Morocco,Doukkala - Abda,Safi,147327,21832,2024,0.255076,22.9731
Morocco,Fès - Boulemane,Boulemane,147328,21788,2024,0.112164,6.9736
Morocco,Gharb - Chrarda - Béni Hssen,Kénitra,147329,21809,2024,0.179713,13.7004
Morocco,Gharb - Chrarda - Béni Hssen,Sidi Kacem,147329,21814,2024,0.252946,22.6894
Morocco,Guelmim - Es-Semara,Tan-Tan,147331,21825,2024,0.2092,17.1303
Morocco,Guelmim - Es-Semara,Tata,147331,21827,2024,0.217555,18.1505
Morocco,Laâyoune - Boujdour - Sakia El Hamra,Laâyoune,147332,21823,2024,0.265894,24.4312
Morocco,Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,147333,21829,2024,0.324903,32.8382
Morocco,Marrakech - Tensift - Al Haouz,Essaouira,147333,21830,2024,0.228805,19.5562
Morocco,Rabat - Salé - Zemmour - Zaer,Khémisset,147334,21810,2024,0.002375,0.1249
Morocco,Rabat - Salé - Zemmour - Zaer,Rabat,147334,21812,2024,0.0,0.0413
Morocco,Rabat - Salé - Zemmour - Zaer,Salé,147334,21813,2024,0.0,0.0413
Morocco,Souss - Massa - Draâ,Taroudannt,147335,21826,2024,0.361565,38.3801
Morocco,Souss - Massa - Draâ,Tiznit,147335,21828,2024,0.183527,14.1285
Morocco,Tadla - Azilal,Azilal,147336,21799,2024,0.287762,27.4621
Morocco,Tadla - Azilal,Béni Mellal,147336,21802,2024,0.249401,22.2196
Morocco,Tanger - Tétouan,Chefchaouen,147337,21808,2024,0.293883,28.3293
Morocco,Tanger - Tétouan,Larache,147337,21811,2024,0.168481,12.4682
Morocco,Tanger - Tétouan,Tétouan,147337,21817,2024,0.0,0.0413
Morocco,Taza - Al Hoceima - Taounate,Al Hoceïma,147338,21787,2024,0.0,0.0413
Morocco,Taza - Al Hoceima - Taounate,Taounate,147338,21790,2024,0.356368,37.5824
Morocco,Taza - Al Hoceima - Taounate,Taza,147338,21791,2024,0.223756,18.9209
