system:index,Country,Mean_Precip,Region,StdDev_Precip,Sum_Precip,Year,.geo
0_000000000000000000c9,United Republic of Tanzania,750.1644166419908,Arusha,186.74989834287825,35019.44006159317,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d7,United Republic of Tanzania,728.1307258780951,Manyara,113.62005173560682,32211.93222992467,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cc,United Republic of Tanzania,1052.5186464755373,Geita,130.5533581915548,25450.313624188875,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cd,United Republic of Tanzania,712.9084202342872,Iringa,99.4756953271772,9368.455357667044,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ce,United Republic of Tanzania,1505.5913639265798,Kagera,324.0262697978492,96700.29552309617,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d1,United Republic of Tanzania,968.6027672767639,Katavi,91.62525813352309,9686.02767276764,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000dd,United Republic of Tanzania,1081.8712666764332,Mwanza,147.70589727868102,65472.30347980673,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000de,United Republic of Tanzania,832.6609628531813,Njombe,158.59501026102038,14863.814521206594,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e0,United Republic of Tanzania,882.8184929341078,Rukwa,79.39056086907888,3531.273971736431,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e2,United Republic of Tanzania,846.044174638405,Shinyanga,51.440271937653755,47056.64521135882,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e3,United Republic of Tanzania,916.542572043853,Simiyu,62.58468633426976,34868.154868225174,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ca,United Republic of Tanzania,836.7528956212648,Dar-es-salaam,90.4538565553626,30447.961248900847,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cb,United Republic of Tanzania,557.6149434597941,Dodoma,47.93396992877563,16689.087248961365,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cf,United Republic of Tanzania,1089.5925900936127,Kaskazini Pemba,0.0,824.6720387767343,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d0,United Republic of Tanzania,538.1684498786926,Kaskazini Unguja,0.0,246.92434759140014,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d2,United Republic of Tanzania,1030.1831946429886,Kigoma,110.59863500848039,11077.499292984605,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d3,United Republic of Tanzania,870.5971083891055,Kilimanjaro,221.62987272590036,52061.707081668515,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d4,United Republic of Tanzania,1089.5925900936127,Kusini Pemba,0.0,260.6476391988642,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d5,United Republic of Tanzania,552.9205750555827,Kusini Unguja,18.555584004037534,2137.9595568815866,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d6,United Republic of Tanzania,734.1105599105358,Lindi,35.722357064485706,1468.2211198210716,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d8,United Republic of Tanzania,1231.212366756668,Mara,216.95451971387212,102040.94964327614,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d9,United Republic of Tanzania,1112.2522654963036,Mbeya,175.92500210076048,63974.13324719327,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000da,United Republic of Tanzania,547.0779958045647,Mjini Magharibi,13.87588295897127,1566.1448507346358,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000db,United Republic of Tanzania,847.0261786634272,Morogoro,222.92986358109496,9317.287965297699,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000dc,United Republic of Tanzania,,Mtwara,,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000df,United Republic of Tanzania,833.8202673231053,Pwani,102.89155229597232,20364.833823091376,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e1,United Republic of Tanzania,1040.554218052909,Ruvuma,54.239884468126625,25695.568278741837,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e4,United Republic of Tanzania,595.2655755935124,Singida,36.05281559443032,20876.313892285416,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e5,United Republic of Tanzania,852.3403404372118,Tabora,103.5420824819231,47416.86301742073,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e6,United Republic of Tanzania,813.7191533033664,Tanga,96.51898525950715,10578.348992943764,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000c9,United Republic of Tanzania,823.184000559752,Arusha,173.82050184366614,38428.16604965996,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d7,United Republic of Tanzania,858.949521080197,Manyara,123.91295360166629,37999.25312668903,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000cc,United Republic of Tanzania,983.8114329530866,Geita,92.29071106932902,23788.946257210715,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000cd,United Republic of Tanzania,779.7271592146033,Iringa,194.03092842698817,10246.53219814955,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000ce,United Republic of Tanzania,1211.512933816293,Kagera,189.91682189514236,77812.38756879704,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000d1,United Republic of Tanzania,1033.7228745535017,Katavi,82.38454520935538,10337.228745535016,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000dd,United Republic of Tanzania,1051.3804333546927,Mwanza,86.35007565946212,63627.06999031223,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000de,United Republic of Tanzania,1058.9722143432716,Njombe,199.39278709552107,18903.692234080678,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e0,United Republic of Tanzania,983.2183815073222,Rukwa,114.51021824972305,3932.8735260292888,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e2,United Republic of Tanzania,896.7071988155773,Shinyanga,58.86066704879457,49874.50274824052,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e3,United Republic of Tanzania,998.4035649221221,Simiyu,49.587253256456215,37982.403856115714,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000ca,United Republic of Tanzania,920.7312747666847,Dar-es-salaam,82.04608722076703,33503.78626886301,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000cb,United Republic of Tanzania,486.70237182174463,Dodoma,90.55711947421146,14566.71569311198,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
