Country,Region,adm1_code
Afghanistan,Badakhshan,272
Afghanistan,Badghis,273
Afghanistan,Baghlan,274
Afghanistan,Balkh,275
Afghanistan,Bamyan,276
Afghanistan,Daykundi,99878
Afghanistan,Farah,277
Afghanistan,Faryab,278
Afghanistan,Ghazni,279
Afghanistan,Ghor,280
Afghanistan,Hilmand,281
Afghanistan,Hirat,282
Afghanistan,Jawzjan,283
Afghanistan,Kabul,284
Afghanistan,Kandahar,285
Afghanistan,Kapisa,286
Afghanistan,Khost,287
Afghanistan,Kunar,288
Afghanistan,Kunduz,289
Afghanistan,Laghman,290
Afghanistan,Logar,291
Afghanistan,Nangarhar,292
Afghanistan,Nimroz,293
Afghanistan,Nuristan,294
Afghanistan,Paktika,295
Afghanistan,Paktya,296
Afghanistan,Panjsher,99879
Afghanistan,Parwan,99880
Afghanistan,Samangan,298
Afghanistan,Sar-e-Pul,299
Afghanistan,Takhar,300
Afghanistan,Uruzgan,99881
Afghanistan,Wardak,302
Afghanistan,Zabul,303
Albania,Berat,305
Albania,Bulqize,306
Albania,Delvine,307
Albania,Devoll,308
Albania,Diber,309
Albania,Durres,310
Albania,Elbasan,311
Albania,Fier,312
Albania,Gjirokaster,313
Albania,Gramsh,314
Albania,Has,315
Albania,Kavaje,316
Albania,Kolonje,317
Albania,Korce,318
Albania,Kruje,319
Albania,Kucove,320
Albania,Kukes,321
Albania,Kurbin,322
Albania,Lezhe,323
Albania,Librazhd,324
Albania,Lushnje,325
Albania,Malesi E Madhe,326
Albania,Mallakaster,327
Albania,Mat,328
Albania,Mirdite,329
Albania,Peqin,330
Albania,Permet,331
Albania,Pogradec,332
Albania,Puke,333
Albania,Sarande,334
Albania,Shkoder,335
Albania,Skrapar,336
Albania,Tepelene,337
Albania,Tirane,338
Albania,Tropoje,339
Albania,Vlore,340
Angola,Bengo,398
Angola,Benguela,399
Angola,Bie,400
Angola,Cabinda,401
Angola,Cuando Cubango,402
Angola,Cuanza Sul,403
Angola,Cunene,404
Angola,Huambo,405
Angola,Huila,406
Angola,Kuanza Norte,407
Angola,Luanda,408
Angola,Lunda Norte,409
Angola,Lunda Sul,410
Angola,Malanje,411
Angola,Moxico,412
Angola,Namibe,413
Angola,Uige,414
Angola,Zaire,415
Azerbaijan,Absheron,147297
Azerbaijan,Administrative unit not available,147307
Azerbaijan,Aran,147298
Azerbaijan,Daghlig Shirvan,147299
Azerbaijan,Ganja-Gazakh,147300
Azerbaijan,Guba-Khachmaz,147301
Azerbaijan,Kalbajar-Lachin,147302
Azerbaijan,Lankaran,147303
