country,region,year,extrapolated_total,api_total,abs_diff,pct_diff
India,Maharashtra,2021,112499884.544463,,,
India,Maharashtra,2022,114117481.032621,,,
India,Maharashtra,2023,115735077.52078,,,
Nigeria,Lagos,2021,12429781.295993,,,
Nigeria,Lagos,2022,12762217.282315,,,
Nigeria,Lagos,2023,13094653.268637,,,
Brazil,Minas Gerais,2021,18789376.462494,,,
Brazil,Minas Gerais,2022,18967440.635296,,,
Brazil,Minas Gerais,2023,19145504.808099,,,
Mexico,Jalisco,2021,8488280.376707,,,
Mexico,Jalisco,2022,8692920.78184,,,
Mexico,Jalisco,2023,8897561.186973,,,
Ethiopia,Oromia,2021,34853147.925748,,,
Ethiopia,Oromia,2022,35747713.616019,,,
Ethiopia,Oromia,2023,36642279.306291,,,
Bangladesh,Dhaka,2021,50285552.394385,,,
Bangladesh,Dhaka,2022,51270570.044718,,,
Bangladesh,Dhaka,2023,52255587.695052,,,
Kenya,Nairobi,2021,4254268.923007,,,
Kenya,Nairobi,2022,4388863.178556,,,
Kenya,Nairobi,2023,4523457.434105,,,
Pakistan,Punjab,2021,112302101.083794,,,
Pakistan,Punjab,2022,114795057.076817,,,
Pakistan,Punjab,2023,117288013.06984,,,
