model,mask,cv_strategy,fold_index,R2,RMSE,MAE,n_test_obs
DNN+XGB,pop_weighted,random,1,0.8895,0.0592,0.0409,1052
DNN+XGB,pop_weighted,random,2,0.8903,0.0582,0.0414,1052
DNN+XGB,pop_weighted,random,3,0.8995,0.0565,0.0404,1052
DNN+XGB,pop_weighted,random,4,0.8982,0.0559,0.0391,1051
DNN+XGB,pop_weighted,random,5,0.9091,0.0541,0.0383,1051
DNN+XGB,pop_weighted,governorate,1,0.6984,0.0955,0.074,1052
DNN+XGB,pop_weighted,governorate,2,0.6591,0.0951,0.0727,1052
DNN+XGB,pop_weighted,governorate,3,0.631,0.1065,0.0757,1052
DNN+XGB,pop_weighted,governorate,4,0.6984,0.1037,0.0769,1051
DNN+XGB,pop_weighted,governorate,5,0.6806,0.1029,0.0739,1051
DNN+XGB,pop_weighted,country,1,0.5034,0.1262,0.0977,1051
DNN+XGB,pop_weighted,country,2,0.2068,0.1153,0.0852,1053
DNN+XGB,pop_weighted,country,3,0.6333,0.1174,0.0931,1051
DNN+XGB,pop_weighted,country,4,0.3887,0.1291,0.1009,1052
DNN+XGB,pop_weighted,country,5,0.6979,0.1023,0.0742,1051
DNN+XGB,pop_weighted,timeseries,1,0.7876,0.0827,0.058,876
DNN+XGB,pop_weighted,timeseries,2,0.7694,0.0872,0.0622,876
DNN+XGB,pop_weighted,timeseries,3,0.8478,0.0668,0.047,876
DNN+XGB,pop_weighted,timeseries,4,0.8594,0.0616,0.0458,876
DNN+XGB,pop_weighted,timeseries,5,0.8708,0.0591,0.0413,876
