feature,mean_abs_shap
Mean_NTL,0.08669034
Median_NTL,0.027214982
Mean_LST_Day,0.02626062
Mean_LST,0.014995326
Mean_GPP,0.014060853
StdDev_Pop,0.009844289
StdDev_NTL,0.00933934
Sum_NTL,0.008356705
Mean_Pop,0.007365024
Median_Pop,0.0067215343
StdDev_NDVI,0.006172236
Mean_Precip,0.005523306
ndvi_lst_ratio,0.0052589127
NTL_anom,0.0048066285
LST_Day_anom,0.00447857
Median_NDVI,0.004343072
StdDev_LST_Day,0.004328772
StdDev_GPP,0.004064779
Median_GPP,0.0034486786
StdDev_LST,0.003172369
NTL_anom_lag1,0.0030910599
Mean_PDSI,0.0025505584
LSTN_anom,0.0024516287
NDVI_anom_lag1,0.0023540223
NDVI_anom,0.0022314144
LSTN_anom_lag1,0.002095998
GPP_anom_lag1,0.0015449632
GPP_anom,0.001420371
precipitation_anom,0.001188567
LST_Day_anom_lag1,0.0010740631
PDSI_anom,0.0007887646
precipitation_anom_lag1,0.0007633643
PDSI_anom_lag1,0.0007175039
