country,adm1_name,adm1_code
Afghanistan,Khost,287
Afghanistan,Paktika,295
Afghanistan,Panjsher,99879
Afghanistan,Parwan,99880
Afghanistan,Badakhshan,272
Afghanistan,Badghis,273
Afghanistan,Baghlan,274
Afghanistan,Balkh,275
Afghanistan,Bamyan,276
Afghanistan,Farah,277
Afghanistan,Faryab,278
Afghanistan,Ghazni,279
Afghanistan,Ghor,280
Afghanistan,Jawzjan,283
Afghanistan,Kabul,284
Afghanistan,Kandahar,285
Afghanistan,Kapisa,286
Afghanistan,Kunduz,289
Afghanistan,Laghman,290
Afghanistan,Logar,291
Afghanistan,Nangarhar,292
Afghanistan,Nimroz,293
Afghanistan,Paktya,296
Afghanistan,Samangan,298
Afghanistan,Sar-e-Pul,299
Afghanistan,Takhar,300
Afghanistan,Wardak,302
Afghanistan,Zabul,303
Albania,Berat,305
Albania,Elbasan,311
Albania,Fier,312
Albania,Kukes,321
Albania,Tirane,338
Angola,Bengo,398
Angola,Benguela,399
Angola,Cabinda,401
Angola,Cuando Cubango,402
Angola,Cuanza Sul,403
Angola,Cunene,404
Angola,Huambo,405
Angola,Luanda,408
Angola,Lunda Norte,409
Angola,Lunda Sul,410
Angola,Malanje,411
Angola,Moxico,412
Angola,Namibe,413
Angola,Zaire,415
Azerbaijan,Absheron,147297
Azerbaijan,Aran,147298
Azerbaijan,Lankaran,147303
Bangladesh,Barisal,575
Bangladesh,Khulna,578
Bangladesh,Chittagong,576
Bangladesh,Sylhet,580
Bangladesh,Rajshahi,61362
Bangladesh,Rangpur,61363
Bangladesh,Dhaka,577
Belize,Belize,603
Belize,Cayo,604
Belize,Corozal,605
Belize,Orange Walk,606
Belize,Stann Creek,607
Belize,Toledo,608
Benin,Alibori,609
Benin,Atlantique,611
Benin,Borgou,612
Benin,Collines,613
Benin,Donga,615
Bhutan,Dagana,41308
Bhutan,Haa,41309
Bhutan,Pemagatshel,41310
Bhutan,Punakha,631
Bhutan,Samtse,41312
Bhutan,Sarpang,41313
Bhutan,Trashigang,637
Bhutan,Trashiyangtse,636
Bhutan,Zhemgang,41314
Bhutan,Bumthang,622
Bhutan,Paro,629
Bhutan,Thimphu,635
Bhutan,Trongsa,638
Bhutan,Tsirang,639
Bolivia,Pando,648
Bolivia,Beni,40443
Bolivia,Chuquisaca,40444
Bolivia,Cochabamba,40445
Bolivia,La Paz,40446
Bolivia,Oruro,40447
Bolivia,Potosi,40448
Bolivia,Santa Cruz,40449
Bolivia,Tarija,40450
Botswana,Chobe,655
Botswana,Ghanzi,656
Botswana,Kgatleng,658
Botswana,North East,661
Brazil,Alagoas,666
Brazil,Bahia,669
Brazil,Minas Gerais,677
Brazil,Pernambuco,681
Brazil,Sergipe,690
Brazil,Acre,665
Brazil,Amazonas,668
Brazil,Distrito Federal,671
Brazil,Mato Grosso,675
Brazil,Roraima,687
Brazil,Santa Catarina,688
Brazil,Tocantins,691
Burkina Faso,Cascades,40277
Burkina Faso,Centre,40278
Burkina Faso,Centre-est,40279
Burkina Faso,Centre-nord,40280
Burkina Faso,Centre-ouest,40281
Burkina Faso,Centre-sud,40282
Burkina Faso,Est,40283
Burkina Faso,Nord,40285
Burkina Faso,Plateau Central,40286
Burkina Faso,Sahel,40287
Burkina Faso,Sud-ouest,40288
Burundi,Bujumbura Mairie,40543
Burundi,Bujumbura Rural,40544
Burundi,Muramvya,40553
Burundi,Mwaro,40555
Burundi,Bubanza,40542
Burundi,Bururi,40545
Burundi,Cankuzo,40546
Burundi,Cibitoke,40547
Burundi,Gitega,40548
Burundi,Kayanza,40550
Burundi,Kirundo,40551
Burundi,Makamba,40552
Burundi,Muyinga,40554
Burundi,Ngozi,40556
Burundi,Rutana,40557
Burundi,Ruyigi,40558
Cambodia,Otdar Meanchey,804
Cambodia,Siem Reap,811
Cambodia,Battambang,792
Cambodia,Pailin,805
Cambodia,Kampong Cham,793
Cambodia,Kampong Chhnang,794
Cambodia,Kampong Speu,795
Cambodia,Kampong Thom,796
