country,n_obs,n_adm1_units,years_present,un_region,continent,wb_income_group
Afghanistan,194,28,"2017,2018,2019,2020,2021,2022,2023",Southern Asia,Asia,Low income
Albania,20,5,"2020,2021,2022,2023",Southern Europe,Europe,Upper middle income
Angola,84,14,"2018,2019,2020,2021,2022,2023",Middle Africa,Africa,Lower middle income
Azerbaijan,3,3,2018,Western Asia,Asia,Upper middle income
Bangladesh,68,7,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Southern Asia,Asia,Lower middle income
Belize,56,6,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Central America,America,Upper middle income
Benin,55,5,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Western Africa,Africa,Low income
Bhutan,107,14,"2015,2016,2017,2018,2019,2020,2021,2022",Southern Asia,Asia,Lower middle income
Bolivia,94,9,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",South America,America,Lower middle income
Botswana,16,4,"2020,2021,2022,2023",Southern Africa,Africa,Upper middle income
Brazil,108,12,"2015,2016,2017,2018,2019,2020,2021,2022,2023",South America,America,Upper middle income
Burkina Faso,80,11,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022",Western Africa,Africa,Low income
Burundi,100,16,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Eastern Africa,Africa,Low income
Cambodia,147,23,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",South-eastern Asia,Asia,Lower middle income
Cameroon,65,7,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Middle Africa,Africa,Lower middle income
Central African Republic,31,4,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Middle Africa,Africa,Low income
Chad,68,10,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Middle Africa,Africa,Low income
Congo,60,11,"2018,2019,2020,2021,2022,2023",Middle Africa,Africa,Lower middle income
Costa Rica,6,2,"2021,2022,2023",Central America,America,Upper middle income
Cuba,24,6,"2020,2021,2022,2023",Caribbean,America,Upper middle income
Djibouti,6,1,"2012,2014,2015,2016,2017,2018",Eastern Africa,Africa,Lower middle income
Dominican Republic,43,22,"2012,2014",Caribbean,America,Upper middle income
Ecuador,123,23,"2018,2019,2020,2021,2022,2023",South America,America,Upper middle income
Egypt,162,18,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Northern Africa,Africa,Lower middle income
El Salvador,62,14,"2017,2018,2019,2020,2021,2022,2023",Central America,America,Lower middle income
Ethiopia,80,9,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Eastern Africa,Africa,Low income
Fiji,4,4,2023,Melanesia,Oceania,Upper middle income
Gabon,22,3,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Middle Africa,Africa,Upper middle income
Ghana,88,8,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Western Africa,Africa,Lower middle income
Guatemala,141,21,"2017,2018,2019,2020,2021,2022,2023",Central America,America,Upper middle income
Guinea,55,5,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Western Africa,Africa,Low income
Guinea-Bissau,43,7,"2017,2018,2019,2020,2021,2022,2023",Western Africa,Africa,Low income
Haiti,58,7,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Caribbean,America,Low income
Honduras,85,8,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Central America,America,Lower middle income
India,292,31,"2012,2014,2015,2016,2018,2019,2020,2021,2022,2023",Southern Asia,Asia,Lower middle income
Indonesia,65,6,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",South-eastern Asia,Asia,Upper middle income
Iraq,85,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Western Asia,Asia,Upper middle income
Jamaica,54,6,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Caribbean,America,Upper middle income
Jordan,36,9,"2020,2021,2022,2023",Western Asia,Asia,Upper middle income
Kenya,86,8,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Eastern Africa,Africa,Lower middle income
Kyrgyzstan,33,6,"2018,2019,2020,2021,2022,2023",Central Asia,Asia,Lower middle income
Lao People's Democratic Republic,30,4,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",South-eastern Asia,Asia,Lower middle income
Lesotho,49,8,"2012,2014,2015,2016,2017,2018,2019",Southern Africa,Africa,Lower middle income
Liberia,126,14,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Western Africa,Africa,Low income
Madagascar,220,20,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Eastern Africa,Africa,Low income
Mali,71,8,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Western Africa,Africa,Low income
Mauritania,81,8,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Western Africa,Africa,Lower middle income
Mexico,12,3,"2012,2014,2015,2016",Central America,America,Upper middle income
"Moldova, Republic of",1,1,2014,Eastern Europe,Europe,Lower middle income
Mongolia,11,1,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Eastern Asia,Asia,Lower middle income
Morocco,11,2,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Northern Africa,Africa,Lower middle income
Mozambique,48,5,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Eastern Africa,Africa,Low income
Myanmar,70,10,"2017,2018,2019,2020,2021,2022,2023",South-eastern Asia,Asia,Lower middle income
Namibia,138,13,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Southern Africa,Africa,Upper middle income
Nepal,6,3,"2012,2014",Southern Asia,Asia,Unknown
Niger,65,6,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Western Africa,Africa,Low income
Nigeria,340,34,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Western Africa,Africa,Lower middle income
North Macedonia,7,1,"2012,2018,2019,2020,2021,2022,2023",Southern Europe,Europe,Upper middle income
Pakistan,33,3,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Southern Asia,Asia,Lower middle income
Papua New Guinea,68,17,"2020,2021,2022,2023",Melanesia,Oceania,Lower middle income
Paraguay,12,2,"2018,2019,2020,2021,2022,2023",South America,America,Upper middle income
Peru,198,23,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",South America,America,Upper middle income
Senegal,28,4,"2012,2014,2019,2020,2021,2022,2023",Western Africa,Africa,Lower middle income
Sierra Leone,3,3,2012,Western Africa,Africa,Low income
South Sudan,12,4,"2015,2016,2017",Eastern Africa,Africa,Low income
Sri Lanka,28,7,"2020,2021,2022,2023",Southern Asia,Asia,Lower middle income
Sudan,54,7,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Northern Africa,Africa,Low income
Suriname,101,10,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",South America,America,Upper middle income
Swaziland,22,2,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Southern Africa,Africa,Lower middle income
Syrian Arab Republic,18,4,"2015,2016,2017,2018,2019,2020,2021",Western Asia,Asia,Low income
Tajikistan,11,1,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Central Asia,Asia,Low income
Tanzania,16,16,2012,Eastern Africa,Africa,Lower middle income
Thailand,5,1,"2018,2020,2021,2022,2023",South-eastern Asia,Asia,Upper middle income
Timor-Leste,131,13,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",South-eastern Asia,Asia,Lower middle income
Togo,29,5,"2012,2018,2019,2020,2021,2022,2023",Western Africa,Africa,Low income
Trinidad and Tobago,9,1,"2012,2014,2015,2016,2017,2020,2021,2022,2023",Caribbean,America,High income
Tunisia,2,2,2019,Northern Africa,Africa,Lower middle income
Turkmenistan,16,3,"2015,2016,2020,2021,2022,2023",Central Asia,Asia,Upper middle income
Uganda,11,1,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Eastern Africa,Africa,Low income
Uzbekistan,6,1,"2012,2014,2015,2016,2017,2018",Central Asia,Asia,Lower middle income
Yemen,72,8,"2015,2016,2017,2018,2019,2020,2021,2022,2023",Western Asia,Asia,Low income
Zambia,95,9,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Eastern Africa,Africa,Lower middle income
Zimbabwe,55,5,"2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",Eastern Africa,Africa,Lower middle income
