Country,Governorate,District,ADM1_CODE,ADM2_CODE,Year,Predicted MPI,Predicted Severe Poverty %
Egypt,Alexandria,A L Labban,61510,61537,2024,0.159096,11.4718
Egypt,Alexandria,Al Amreia,61510,61538,2024,0.024892,1.0623
Egypt,Alexandria,Al Attarin,61510,61539,2024,0.107646,6.5857
Egypt,Alexandria,Al Dikhila,61510,61540,2024,0.040903,1.8834
Egypt,Alexandria,Al Gumruk,61510,61541,2024,0.142724,9.8084
Egypt,Alexandria,Al Manshiyya,61510,61542,2024,0.122229,7.867
Egypt,Alexandria,Bab Sharqi,61510,61544,2024,0.086296,4.8678
Egypt,Alexandria,Burg al-Arab,61510,61545,2024,0.013106,0.5393
Egypt,Alexandria,Burg Al-Arab City,61510,61546,2024,0.018426,0.7666
Egypt,Alexandria,Karmuz,61510,61547,2024,0.14284,9.8198
Egypt,Alexandria,Kesm than Al Raml,61510,61548,2024,0.055958,2.7682
Egypt,Alexandria,Mina Al-Basal,61510,61549,2024,0.090589,5.1978
Egypt,Alexandria,Muharam Bik,61510,61550,2024,0.081353,4.4978
Egypt,Alexandria,Muntazah,61510,61551,2024,0.030028,1.3119
Egypt,Alexandria,Port Alexandria Police Department,61510,61553,2024,0.089069,5.0801
Egypt,Alexandria,Sidi Gabir,61510,61554,2024,0.081082,4.4778
Egypt,Alexandria,Zemam Out,61510,61555,2024,0.146218,10.1553
Egypt,Assiut,Abnub,61511,61556,2024,0.126605,8.268
Egypt,Assiut,Abu Tig,61511,61557,2024,0.092238,5.3266
Egypt,Assiut,Al- Badari,61511,61558,2024,0.099057,5.8716
Egypt,Assiut,Al-Ghanayem,61511,61559,2024,0.097565,5.7507
Egypt,Assiut,Al-Qusia,61511,61560,2024,0.083935,4.6898
Egypt,Assiut,Alfath,61511,61561,2024,0.085579,4.8135
Egypt,Assiut,Assuit,61511,61562,2024,0.078937,4.3208
Egypt,Assiut,Assuit City,61511,61563,2024,0.141507,9.6887
Egypt,Assiut,Dayrut,61511,61564,2024,0.083854,4.6837
Egypt,Assiut,Kesm Awal Assuit,61511,61565,2024,0.067585,3.5239
Egypt,Assiut,Kesm Than Assuit,61511,61566,2024,0.048661,2.3259
