Country,Governorate,District,ADM1_CODE,ADM2_CODE,Year,Predicted MPI,Predicted Severe Poverty %
Jordan,Ajloon,Ajloon,1701,65716,2024,0.215738,17.9269
Jordan,Aqaba,Wadi Araba,1703,65718,2024,0.24446,21.5705
Jordan,Balqa,Al-Salt,1702,65722,2024,0.168724,12.4944
Jordan,Irbid,Irbid,1707,65740,2024,0.04131,1.9059
Jordan,Karak,Al-Qaser,1704,65724,2024,0.195443,15.4961
Jordan,Karak,Al-Qatraneh,1704,65725,2024,0.194596,15.3973
Jordan,Ma'an,Ma'an,1709,65744,2024,0.17521,13.2014
Jordan,Madaba,Madaba,1710,65745,2024,0.123003,7.9374
Jordan,Madaba,Theeban,1710,65746,2024,0.173023,12.9613
Jordan,Mafraq,Al-ruwaished,1711,65728,2024,0.188203,14.6597
Jordan,Mafraq,Bal'ama,1711,65729,2024,0.056028,2.7726
Jordan,Tafiela,Tafiela,1706,65735,2024,0.153559,10.8983
Jordan,Zarqa,Al-Hashimiya,1712,65736,2024,0.171297,12.7732
Jordan,Mafraq,Sabha,1711,65731,2024,0.071297,3.7781
Jordan,Zarqa,Zarqa,1712,65738,2024,0.010313,0.4257
Jordan,Mafraq,Mafraq,1711,65730,2024,0.019426,0.811
Jordan,Mafraq,Sama Al-Serhan,1711,65732,2024,0.02391,1.016
Jordan,Irbid,Al-Wasatiya,1707,65739,2024,0.23438,20.266
Jordan,Ajloon,Kufranjeh,1701,65715,2024,0.251044,22.437
Jordan,Balqa,Al-Ardha,1702,65720,2024,0.169398,12.5673
Jordan,Balqa,Zay,1702,65721,2024,0.192671,15.1739
Jordan,Balqa,Mahes & Fhais,1702,65719,2024,0.142289,9.7656
Jordan,Balqa,Ira & Yarqa,1702,65723,2024,0.172353,12.8882
Jordan,Zarqa,Al-Dhilail,1712,65737,2024,0.093358,5.4148
Jordan,Karak,Faqooa',1704,65726,2024,0.158479,11.4073
Jordan,Karak,Ayy,1704,36739,2024,0.087851,4.9864
Jordan,Karak,Karak,1704,65727,2024,0.079131,4.3349
Jordan,Tafiela,Al-Hasa,1706,65733,2024,0.2218,18.6767
Jordan,Tafiela,Bsaira,1706,65734,2024,0.113608,7.0993
Jordan,Aqaba,Aqaba,1703,65717,2024,0.260224,23.6634
Jordan,Ma'an,Ail,1709,65743,2024,0.174999,13.1781
Jordan,Ma'an,Al-Mraigha,1709,65741,2024,0.141307,9.6691
Jordan,Ma'an,Al-Jafer,1709,65742,2024,0.186896,14.5105
Jordan,Amman,Al-Muwaqar,1705,36719,2024,0.036365,1.638
Jordan,Amman,Al-Jeeza,1705,36715,2024,0.177474,13.4514
Jordan,Amman,Amman,1705,36717,2024,0.023659,1.0043
Jordan,Amman,Jami'ah,1705,36714,2024,0.029238,1.2727
Jordan,Amman,Marka,1705,36718,2024,0.029461,1.2837
Jordan,Amman,Na'oor,1705,36720,2024,0.190825,14.9607
Jordan,Amman,Qwaismeh,1705,36716,2024,0.030177,1.3194
Jordan,Amman,Sahab,1705,36721,2024,0.127912,8.3892
Jordan,Amman,Wadisseer,1705,36722,2024,0.086151,4.8568
Jordan,Aqaba,Al-Qwaira,1703,36724,2024,0.178834,13.6025
Jordan,Balqa,Al-Ruseifa,1702,36728,2024,0.091611,5.2774
Jordan,Balqa,Al-Shoona Al-Janoobiya,1702,36726,2024,0.303947,29.7719
Jordan,Balqa,Dair Ala,1702,36725,2024,0.073364,3.9224
Jordan,Irbid,Al-Aghwar Al-Shimaliya,1707,36730,2024,0.060744,3.0718
Jordan,Irbid,Al-Koora,1707,36735,2024,0.262395,23.9564
Jordan,Irbid,Al-Mazar Al-Shimali,1707,36736,2024,0.228832,19.5596
Jordan,Irbid,Al-Ramtha,1707,36731,2024,0.226816,19.3051
Jordan,Irbid,Al-Teeba,1707,36729,2024,0.336077,34.5051
Jordan,Irbid,Beni Kinana,1707,36734,2024,0.216163,17.9792
Jordan,Irbid,Beni Obaid,1707,36732,2024,0.082733,4.6
Jordan,Jarash,Jarash,1708,36737,2024,0.163331,11.9176
Jordan,Karak,Al-Aghwar Al-Janoobiya,1704,36738,2024,0.299052,29.0678
Jordan,Karak,Al-Mazar Al-Janoobi,1704,36741,2024,0.113119,7.0566
Jordan,Ma'an,Al-Shobak,1709,36745,2024,0.202364,16.3109
Jordan,Ma'an,Wadi Moosa,1709,36746,2024,0.083225,4.6367
