Country,Governorate,District,ADM1_CODE,ADM2_CODE,Year,Predicted MPI,Predicted Severe Poverty %
Kyrgyzstan,Naryn,At-Bashy,1749,18612,2024,0.130746,8.6543
Kyrgyzstan,Ysyk-Kol,Jeti-Oguz,1752,18628,2024,0.197788,15.7705
Kyrgyzstan,Ysyk-Kol,Ak-Suu,1752,18627,2024,0.164704,12.0635
Kyrgyzstan,Jalal-Abad,Toktogul,1748,18610,2024,0.140805,9.6199
Kyrgyzstan,Ysyk-Kol,Tong,1752,18629,2024,0.156559,11.2077
Kyrgyzstan,Naryn,Naryn,1749,18615,2024,0.145303,10.064
Kyrgyzstan,Jalal-Abad,Chatkal,1748,18606,2024,0.144238,9.9582
Kyrgyzstan,Naryn,Kochkor,1749,18614,2024,0.170002,12.6326
Kyrgyzstan,Osh,Alay,1750,18616,2024,0.12445,8.0696
Kyrgyzstan,Batken,Batken,1746,18592,2024,0.154717,11.0174
Kyrgyzstan,Chuy,Panfilov,147294,18600,2024,0.153654,10.9081
Kyrgyzstan,Chuy,Kemin,147294,18598,2024,0.149769,10.5123
Kyrgyzstan,Ysyk-Kol,Ysyk-Kol,1752,18631,2024,0.150776,10.6143
Kyrgyzstan,Talas,Talas,1751,18626,2024,0.151987,10.7376
Kyrgyzstan,Osh,Kara-Kulja,1750,18619,2024,0.179124,13.6348
Kyrgyzstan,Naryn,Ak-Talaa,1749,18611,2024,0.134924,9.0507
Kyrgyzstan,Naryn,Jumgal,1749,18613,2024,0.14538,10.0716
Kyrgyzstan,Osh,Chong-Alay,1750,18618,2024,0.14476,10.01
Kyrgyzstan,Jalal-Abad,Toguz-Toro,1748,18609,2024,0.153416,10.8837
Kyrgyzstan,Jalal-Abad,Aksy,1748,18603,2024,0.168454,12.4653
Kyrgyzstan,Ysyk-Kol,Tup,1752,18630,2024,0.184139,14.1976
Kyrgyzstan,Osh,Nookat,1750,18621,2024,0.139389,9.4817
Kyrgyzstan,Osh,Ozgon,1750,18622,2024,0.156948,11.248
Kyrgyzstan,Jalal-Abad,Suzak,1748,18608,2024,0.147549,10.2885
Kyrgyzstan,Batken,Leylek,1746,18594,2024,0.171805,12.8284
Kyrgyzstan,Osh,Kara-Suu,1750,18620,2024,0.121871,7.8346
Kyrgyzstan,Jalal-Abad,Bazar-Korgon,1748,18605,2024,0.145738,10.1073
Kyrgyzstan,Jalal-Abad,Ala-Buka,1748,18604,2024,0.156374,11.1885
Kyrgyzstan,Talas,Kara-Buura,1751,18624,2024,0.150168,10.5526
Kyrgyzstan,Talas,Bakay-Ata,1751,18623,2024,0.143469,9.882
Kyrgyzstan,Jalal-Abad,Nooken,1748,18607,2024,0.148704,10.4047
Kyrgyzstan,Chuy,Jayyl,147294,18597,2024,0.170088,12.6419
Kyrgyzstan,Chuy,Sokuluk,147294,18601,2024,0.166553,12.261
Kyrgyzstan,Chuy,Moskva,147294,18599,2024,0.160757,11.6459
Kyrgyzstan,Chuy,Alamudun,147294,18595,2024,0.061378,3.1127
Kyrgyzstan,Chuy,Chuy,147294,18596,2024,0.153082,10.8495
Kyrgyzstan,Talas,Manas,1751,18625,2024,0.170502,12.6867
Kyrgyzstan,Chuy,Ysyk-Ata,147294,18602,2024,0.155093,11.0561
Kyrgyzstan,Osh,Aravan,1750,18617,2024,0.167866,12.4019
Kyrgyzstan,Batken,Kadamjay,1746,18593,2024,0.129127,8.5025
