Country,Governorate,District,ADM1_CODE,ADM2_CODE,Year,Predicted MPI,Predicted Severe Poverty %
Morocco,Meknès - Tafilalet,El Hajeb,2107,147350,2024,0.15161,10.6991
Morocco,Meknès - Tafilalet,Meknès,2107,147351,2024,0.128697,8.4623
Morocco,Oriental,Berkane Taourirt,2109,147352,2024,0.126743,8.2808
Morocco,Oriental,Jerada,2109,147353,2024,0.144054,9.9399
Morocco,Oriental,Oujda Angad,2109,147354,2024,0.138374,9.383
Morocco,Chaouia - Ouardigha,Ben Slimane,147326,147339,2024,0.118318,7.5151
Morocco,Fès - Boulemane,Fès,147328,147340,2024,0.124091,8.0368
Morocco,Fès - Boulemane,Sefrou,147328,147341,2024,0.139585,9.5008
Morocco,Fès - Boulemane,Zouagha-Moulay Yacoub,147328,147342,2024,0.126413,8.2502
Morocco,Grand Casablanca,Casablanca,147330,147343,2024,0.068081,3.5575
Morocco,Grand Casablanca,Mohammedia,147330,147344,2024,0.029755,1.2983
Morocco,Guelmim - Es-Semara,Assa-Zag,147331,147345,2024,0.25871,23.4596
Morocco,Guelmim - Es-Semara,Guelmim,147331,147346,2024,0.138509,9.3961
Morocco,Marrakech - Tensift - Al Haouz,Al Haouz,147333,147347,2024,0.203506,16.4468
Morocco,Marrakech - Tensift - Al Haouz,Chichaoua,147333,147348,2024,0.204961,16.6205
Morocco,Marrakech - Tensift - Al Haouz,Marrakech,147333,147349,2024,0.148738,10.4081
Morocco,Rabat - Salé - Zemmour - Zaer,Skhirate-Témara,147334,147355,2024,0.120869,7.7439
Morocco,Souss - Massa - Draâ,Agadir-Ida ou Tanane,147335,147356,2024,0.158012,11.3586
Morocco,Souss - Massa - Draâ,Chtouka-Aït Baha,147335,147357,2024,0.149411,10.476
Morocco,Souss - Massa - Draâ,Inezgane-Aït Melloul,147335,147358,2024,0.167094,12.319
Morocco,Souss - Massa - Draâ,Ouarzazate,147335,147359,2024,0.153436,10.8857
Morocco,Souss - Massa - Draâ,Zagora,147335,147360,2024,0.18743,14.5714
Morocco,Tanger - Tétouan,Fahs Anjra,147337,147361,2024,0.144891,10.0229
Morocco,Tanger - Tétouan,Tanger-Assilah,147337,147362,2024,0.140609,9.6007
Morocco,Meknès - Tafilalet,Errachidia,2107,21792,2024,0.137287,9.2778
Morocco,Meknès - Tafilalet,Ifrane,2107,21793,2024,0.127254,8.3281
Morocco,Meknès - Tafilalet,Khénifra,2107,21794,2024,0.136989,9.2491
Morocco,Oriental,Figuig,2109,21818,2024,0.138256,9.3716
Morocco,Oriental,Nador,2109,21819,2024,0.132719,8.8407
Morocco,Chaouia - Ouardigha,Khouribga,147326,21805,2024,0.125663,8.181
Morocco,Chaouia - Ouardigha,Settat,147326,21806,2024,0.200761,16.1209
Morocco,Doukkala - Abda,El Jadida,147327,21804,2024,0.135837,9.1382
Morocco,Doukkala - Abda,Safi,147327,21832,2024,0.137288,9.278
Morocco,Fès - Boulemane,Boulemane,147328,21788,2024,0.147158,10.2493
Morocco,Gharb - Chrarda - Béni Hssen,Kénitra,147329,21809,2024,0.136661,9.2175
Morocco,Gharb - Chrarda - Béni Hssen,Sidi Kacem,147329,21814,2024,0.218198,18.2299
Morocco,Guelmim - Es-Semara,Tan-Tan,147331,21825,2024,0.191942,15.0895
Morocco,Guelmim - Es-Semara,Tata,147331,21827,2024,0.261077,23.7783
Morocco,Laâyoune - Boujdour - Sakia El Hamra,Laâyoune,147332,21823,2024,0.185056,14.3014
Morocco,Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,147333,21829,2024,0.138767,9.4212
Morocco,Marrakech - Tensift - Al Haouz,Essaouira,147333,21830,2024,0.165716,12.1715
Morocco,Rabat - Salé - Zemmour - Zaer,Khémisset,147334,21810,2024,0.127169,8.3202
Morocco,Rabat - Salé - Zemmour - Zaer,Rabat,147334,21812,2024,0.019273,0.8042
Morocco,Rabat - Salé - Zemmour - Zaer,Salé,147334,21813,2024,0.128928,8.4839
Morocco,Souss - Massa - Draâ,Taroudannt,147335,21826,2024,0.181238,13.871
Morocco,Souss - Massa - Draâ,Tiznit,147335,21828,2024,0.164835,12.0775
Morocco,Tadla - Azilal,Azilal,147336,21799,2024,0.223069,18.8351
Morocco,Tadla - Azilal,Béni Mellal,147336,21802,2024,0.127427,8.3441
Morocco,Tanger - Tétouan,Chefchaouen,147337,21808,2024,0.218496,18.2668
Morocco,Tanger - Tétouan,Larache,147337,21811,2024,0.143765,9.9113
Morocco,Tanger - Tétouan,Tétouan,147337,21817,2024,0.131962,8.7689
Morocco,Taza - Al Hoceima - Taounate,Al Hoceïma,147338,21787,2024,0.126761,8.2824
Morocco,Taza - Al Hoceima - Taounate,Taounate,147338,21790,2024,0.180393,13.7764
Morocco,Taza - Al Hoceima - Taounate,Taza,147338,21791,2024,0.12912,8.5019
