Country,Governorate,District,ADM1_CODE,ADM2_CODE,Year,Predicted MPI,Predicted Severe Poverty %
Tajikistan,Badakhshoni Kuni,Ishkashimskiy,2847,37575,2024,0.274091,25.5546
Tajikistan,Badakhshoni Kuni,Kalay-Humbskiy,2847,37576,2024,0.25423,22.8603
Tajikistan,Badakhshoni Kuni,Murgabskiy,2847,37577,2024,0.252423,22.6198
Tajikistan,Badakhshoni Kuni,Roshtkala,2847,37578,2024,0.261263,23.8034
Tajikistan,Badakhshoni Kuni,Rushanskiy,2847,37579,2024,0.263147,24.0582
Tajikistan,Badakhshoni Kuni,Shugnanskiy,2847,37580,2024,0.20554,16.6899
Tajikistan,Badakhshoni Kuni,Vanchskiy,2847,37581,2024,0.268918,24.8438
Tajikistan,Khatlon,Baljuan,2848,37582,2024,0.261766,23.8714
Tajikistan,Khatlon,Bokhtar,2848,37583,2024,0.139683,9.5103
Tajikistan,Khatlon,Dangara,2848,37584,2024,0.187066,14.5299
Tajikistan,Khatlon,Ghozimalik,2848,37585,2024,0.270725,25.0913
Tajikistan,Khatlon,Hovaling,2848,37586,2024,0.223743,18.9193
Tajikistan,Khatlon,Jilikul,2848,37587,2024,0.274016,25.5442
Tajikistan,Khatlon,Kabodien,2848,37588,2024,0.22085,18.5585
Tajikistan,Khatlon,Kolhosobadskiy,2848,37589,2024,0.271106,25.1436
Tajikistan,Khatlon,Kulyab,2848,37590,2024,0.184238,14.2088
Tajikistan,Khatlon,Kumsangirskiy,2848,37591,2024,0.254203,22.8567
Tajikistan,Khatlon,Kurgan-Tjube,2848,37592,2024,0.293078,28.2149
Tajikistan,Khatlon,Moskovskiy,2848,37593,2024,0.304245,29.815
Tajikistan,Khatlon,Muminobod,2848,37594,2024,0.299832,29.1796
Tajikistan,Khatlon,Parharskiy,2848,37595,2024,0.272154,25.2878
Tajikistan,Khatlon,Piynjskiy,2848,37596,2024,0.225729,19.1683
Tajikistan,Khatlon,Shaartuskiy,2848,37597,2024,0.256229,23.1271
Tajikistan,Khatlon,Shurabad,2848,37598,2024,0.20208,16.2773
Tajikistan,Khatlon,Sovetskiy,2848,37599,2024,0.300177,29.2291
Tajikistan,Khatlon,Vahshskiy,2848,37600,2024,0.265366,24.3594
Tajikistan,Khatlon,Voseysky,2848,37601,2024,0.271969,25.2622
Tajikistan,Khatlon,Yvanskiy,2848,37602,2024,0.237811,20.7069
Tajikistan,Sogd,Aini,2849,37603,2024,0.267269,24.6185
Tajikistan,Sogd,Ashtskiy,2849,37604,2024,0.278509,26.1666
Tajikistan,Sogd,Ganchinskiy,2849,37605,2024,0.283163,26.8158
Tajikistan,Sogd,Hojenskiy,2849,37606,2024,0.096281,5.6474
Tajikistan,Sogd,Isfarinskiy,2849,37607,2024,0.172594,12.9145
Tajikistan,Sogd,Kanibadamskiy,2849,37608,2024,0.123882,8.0176
Tajikistan,Sogd,Kuhistoni Mastchohskiy,2849,37609,2024,0.281869,26.6349
Tajikistan,Sogd,Matchinskiy,2849,37610,2024,0.237582,20.6775
Tajikistan,Sogd,Nauskiy,2849,37611,2024,0.111479,6.9142
Tajikistan,Sogd,Penjikenskiy,2849,37612,2024,0.201234,16.1768
Tajikistan,Sogd,Rasulov,2849,37613,2024,0.189384,14.795
Tajikistan,Sogd,Shahriston,2849,37614,2024,0.265962,24.4404
Tajikistan,Sogd,Ura-Tubinskiy,2849,37615,2024,0.171589,12.8049
Tajikistan,Sogd,Zafarobskiy,2849,37616,2024,0.266697,24.5405
Tajikistan,Tadzhikistan Territories,Darbanskiy,2850,37617,2024,0.218381,18.2525
Tajikistan,Tadzhikistan Territories,Faysabadskiy,2850,37618,2024,0.191452,15.033
Tajikistan,Tadzhikistan Territories,Garmskiy,2850,37619,2024,0.246648,21.8573
Tajikistan,Tadzhikistan Territories,Gissarskiy,2850,37620,2024,0.187995,14.636
Tajikistan,Tadzhikistan Territories,Jirgatalskiy,2850,37621,2024,0.251496,22.4969
Tajikistan,Tadzhikistan Territories,Kofarnohon,2850,37622,2024,0.129209,8.5101
Tajikistan,Tadzhikistan Territories,Leninskiy,2850,37623,2024,0.10904,6.7045
Tajikistan,Tadzhikistan Territories,Nurek,2850,37624,2024,0.15918,11.4805
Tajikistan,Tadzhikistan Territories,Rogunsky,2850,37625,2024,0.154741,11.0198
Tajikistan,Tadzhikistan Territories,Shahrinav,2850,37626,2024,0.2559,23.0831
Tajikistan,Tadzhikistan Territories,Tavildara,2850,37627,2024,0.249858,22.28
Tajikistan,Tadzhikistan Territories,Tojikobod,2850,37628,2024,0.275195,25.707
Tajikistan,Tadzhikistan Territories,Tursunzade,2850,37629,2024,0.248071,22.0443
Tajikistan,Tadzhikistan Territories,Varzob,2850,37630,2024,0.128045,8.4016
